,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating
128,married,,6950,1,,21.0,4.0
129,divorced,5577.0,22087,3,yes,12.0,
130,,,2125,1,yes,17.0,3.0
131,married,2691.0,7660,1,no,12.0,3.0
132,single,,5207,1,,13.0,3.0
133,married,,25995,0,no,11.0,3.0
134,,,20206,6,no,18.0,3.0
135,married,7403.0,22477,4,,11.0,3.0
136,,,6812,6,,13.0,3.0
137,married,8823.0,24608,0,,18.0,3.0
138,married,,15596,3,no,12.0,3.0
139,single,,23238,2,,20.0,4.0
140,single,,2447,0,,12.0,
141,single,,25755,0,no,20.0,4.0
142,,3579.0,9369,0,yes,21.0,4.0
143,married,17779.0,23474,3,no,14.0,3.0
144,single,,17198,1,no,19.0,
145,married,18213.0,8751,7,no,11.0,3.0
146,divorced,13577.0,25592,1,yes,15.0,3.0
147,divorced,19190.0,17477,1,no,14.0,3.0
148,,,21833,4,no,11.0,3.0
149,divorced,17123.0,17334,6,yes,13.0,3.0
150,,19187.0,6992,4,,14.0,
151,,,17588,1,,11.0,3.0
152,married,10008.0,12023,7,,14.0,3.0
153,single,,18706,1,no,11.0,3.0
154,single,7988.0,9769,1,,13.0,3.0
155,single,,15891,3,no,18.0,
156,,,16458,1,,13.0,3.0
157,married,,2721,0,no,24.0,4.0
158,single,,7815,0,yes,23.0,4.0
159,,,24456,3,no,20.0,
160,,7083.0,12288,1,,14.0,3.0
161,single,4723.0,16213,1,,18.0,3.0
162,,3407.0,25348,1,,17.0,
163,,,10414,3,,24.0,4.0
164,married,2929.0,20338,1,no,12.0,3.0
165,,,6069,1,yes,17.0,3.0
166,divorced,,22577,4,no,22.0,4.0
167,married,,6060,1,yes,13.0,3.0
168,married,,16873,1,,17.0,3.0
169,married,,25811,4,yes,18.0,3.0
170,single,,14811,1,,12.0,3.0
171,married,,26849,1,,11.0,
172,married,,3666,8,no,11.0,3.0
173,,12031.0,8828,0,,11.0,3.0
174,married,15427.0,22021,2,no,16.0,3.0
175,single,,2975,1,no,15.0,3.0
176,,,10781,1,,23.0,4.0
177,married,,11031,1,,22.0,4.0
178,married,6162.0,10877,1,yes,22.0,4.0
179,married,5126.0,15998,1,,12.0,3.0
180,,9619.0,13596,1,no,16.0,3.0
181,,,19760,1,yes,12.0,3.0
182,single,5010.0,24301,1,no,16.0,3.0
183,married,,11439,1,,13.0,3.0
184,single,,15589,1,,14.0,3.0
185,divorced,,4609,4,no,12.0,3.0
186,,19033.0,6499,1,no,14.0,3.0
187,married,,20462,9,no,23.0,4.0
188,married,10400.0,25812,1,no,11.0,3.0
189,,,20925,1,no,22.0,4.0
190,,,10056,1,,14.0,3.0
191,divorced,2793.0,2539,4,no,17.0,3.0
192,,,24447,1,no,17.0,3.0
193,married,5674.0,6927,7,,15.0,3.0
194,married,,16985,1,,14.0,3.0
195,,,26707,3,,17.0,3.0
196,married,,11934,1,no,13.0,3.0
197,,19197.0,8213,1,,14.0,3.0
198,,,3854,5,no,11.0,3.0
199,,8412.0,2890,0,,11.0,3.0
200,divorced,,14394,1,no,25.0,4.0
201,single,3348.0,3164,1,yes,11.0,3.0
202,married,,3297,1,yes,11.0,
203,,5309.0,21146,1,no,15.0,
204,,,11806,1,,13.0,3.0
205,married,7654.0,5860,1,no,18.0,3.0
206,divorced,12808.0,8842,1,,16.0,3.0
207,divorced,,21816,1,,22.0,
208,married,,19028,3,no,22.0,4.0
209,,,8891,1,no,14.0,3.0
210,,6586.0,4821,0,,17.0,3.0
211,,,24406,1,,13.0,3.0
212,single,2519.0,12287,4,no,21.0,4.0
213,married,17099.0,13829,2,,15.0,3.0
214,single,,20489,1,,11.0,3.0
215,,,14039,1,yes,15.0,3.0
216,,,15669,0,,11.0,3.0
217,,13120.0,11879,6,,17.0,3.0
218,,,11162,1,,13.0,
219,married,3131.0,26342,1,,13.0,3.0
220,married,,9961,1,,13.0,3.0
221,,,21708,0,,14.0,3.0
222,divorced,4444.0,22534,4,no,13.0,3.0
223,married,6674.0,16392,0,no,11.0,3.0
224,,9852.0,8935,1,yes,19.0,3.0
225,,17861.0,26582,0,yes,13.0,
226,single,,22455,1,,13.0,3.0
227,single,,23553,1,,12.0,3.0
228,,,22456,3,,21.0,4.0
229,,7446.0,8931,1,,11.0,3.0
230,,13757.0,25178,2,no,11.0,3.0
231,single,16598.0,19764,4,no,12.0,3.0
232,,,11929,7,,14.0,3.0
233,single,,21195,1,no,19.0,3.0
234,married,4285.0,3031,1,,17.0,3.0
235,,10124.0,18611,2,yes,14.0,3.0
236,divorced,,20933,1,,12.0,3.0
237,married,9714.0,5323,1,no,11.0,3.0
238,married,9924.0,12355,0,,11.0,3.0
239,,11245.0,20689,2,,15.0,3.0
240,,3069.0,10302,0,,15.0,3.0
241,,,19332,1,no,12.0,3.0
242,,,18685,3,,25.0,4.0
243,,9241.0,15869,1,no,12.0,3.0
244,married,6472.0,8989,1,,15.0,3.0
245,,,4349,1,no,14.0,3.0
246,,3055.0,6194,5,no,15.0,
247,,8321.0,25949,7,,13.0,3.0
248,married,3143.0,6076,6,no,19.0,3.0
249,,,22128,1,no,21.0,4.0
250,married,,7003,1,no,13.0,
251,divorced,8578.0,19989,3,,14.0,3.0
252,married,,7018,1,no,21.0,4.0
253,divorced,4197.0,18624,1,no,11.0,3.0
254,,,23888,0,no,13.0,
255,,9888.0,6770,1,no,21.0,4.0
256,married,,5771,1,,21.0,
257,,,13586,1,yes,11.0,3.0
258,single,13341.0,25098,0,no,12.0,3.0
259,married,5677.0,4258,3,no,14.0,3.0
260,married,,4077,1,no,13.0,3.0
261,married,,17231,0,no,18.0,3.0
262,divorced,,19788,2,,15.0,3.0
263,married,,24907,1,no,23.0,4.0
264,married,2909.0,23159,1,,11.0,3.0
265,,,11864,0,,13.0,3.0
266,,9526.0,8787,0,no,21.0,4.0
267,,,16577,6,,13.0,3.0
268,,6825.0,21173,0,,11.0,
269,divorced,,9528,3,no,22.0,4.0
270,single,4424.0,20682,1,no,23.0,4.0
271,,5441.0,8423,0,,22.0,4.0
272,,6074.0,22887,1,yes,24.0,4.0
273,,,22952,0,no,14.0,3.0
274,divorced,,22310,1,no,25.0,4.0
275,married,6146.0,15480,0,,13.0,3.0
276,married,6172.0,20739,4,,18.0,3.0
277,divorced,,21196,3,yes,13.0,3.0
278,,,8916,1,,23.0,4.0
279,divorced,4668.0,22812,0,no,17.0,3.0
280,divorced,5605.0,8504,1,no,11.0,3.0
281,,,16047,2,yes,20.0,4.0
282,married,4319.0,26283,1,,13.0,3.0
283,,,15062,4,no,12.0,
284,,,4673,1,,13.0,3.0
285,single,,7192,3,,18.0,3.0
286,single,,11781,1,no,16.0,3.0
287,,3564.0,22977,1,yes,12.0,3.0
288,married,6261.0,4185,3,no,18.0,3.0
289,divorced,6804.0,23793,1,yes,15.0,3.0
290,single,,12916,1,,14.0,3.0
291,single,,16840,6,,12.0,3.0
292,single,,9096,1,no,14.0,3.0
293,,,21509,7,no,20.0,
294,,,21030,1,yes,18.0,3.0
295,,19436.0,5949,0,no,19.0,3.0
296,,,19682,3,no,18.0,3.0
297,married,,14977,3,yes,12.0,3.0
298,married,,7501,0,yes,14.0,3.0
299,married,,10268,1,,12.0,3.0
300,divorced,,19100,7,,18.0,
301,single,,20260,1,,18.0,3.0
302,married,,15972,3,,19.0,
303,single,5828.0,8450,1,,12.0,3.0
304,,,12241,4,,11.0,3.0
305,,2455.0,10675,0,no,19.0,3.0
306,,,7143,4,,12.0,3.0
307,single,5055.0,10557,7,,16.0,3.0
308,,4682.0,4317,3,no,14.0,3.0
309,divorced,5257.0,6227,1,no,11.0,
310,,2119.0,4759,1,,11.0,3.0
311,,,3415,1,no,18.0,3.0
312,divorced,,11866,1,yes,14.0,3.0
313,divorced,5974.0,17001,4,,13.0,3.0
314,,,20156,1,,17.0,3.0
315,married,,22495,3,yes,13.0,3.0
316,,,9558,1,no,18.0,3.0
317,,,14862,4,no,11.0,3.0
318,,3034.0,26914,1,no,12.0,3.0
319,married,13212.0,18256,9,no,11.0,3.0
320,married,8392.0,19566,1,,16.0,3.0
321,,,26314,2,no,14.0,3.0
322,single,,7181,0,,14.0,3.0
323,,,14295,4,yes,12.0,3.0
324,married,4051.0,19658,2,no,14.0,3.0
325,,4805.0,16177,0,no,19.0,3.0
326,,2741.0,22808,0,yes,11.0,3.0
327,single,,2112,2,yes,17.0,3.0
328,single,5337.0,19921,1,,12.0,3.0
329,divorced,,6219,4,no,22.0,4.0
330,divorced,,19627,3,,13.0,3.0
331,single,,7507,7,,20.0,4.0
332,married,9434.0,9606,1,no,15.0,
333,,,6729,2,,15.0,
334,,,7791,0,no,20.0,
335,divorced,,18959,1,,18.0,3.0
336,,,17654,1,,14.0,3.0
337,single,,20978,1,no,11.0,3.0
338,,5396.0,21703,1,,12.0,3.0
339,,,19383,0,,13.0,3.0
340,married,,6009,1,,11.0,3.0
341,single,11159.0,19373,3,,15.0,3.0
342,single,4960.0,11825,2,,12.0,3.0
343,,8793.0,4809,1,no,21.0,4.0
344,,19189.0,19562,1,no,12.0,
345,,2216.0,3872,7,yes,13.0,3.0
346,married,11713.0,20335,9,,14.0,3.0
347,divorced,5304.0,25275,7,no,23.0,
348,married,11103.0,20420,7,no,11.0,3.0
349,single,6632.0,12388,0,no,13.0,3.0
350,single,7587.0,14229,1,,15.0,3.0
351,married,4335.0,25549,4,no,12.0,3.0
352,single,5980.0,26085,6,,12.0,3.0
353,,4244.0,9931,1,no,24.0,4.0
354,,,16225,1,no,13.0,3.0
355,,5228.0,23361,0,,15.0,3.0
356,married,2700.0,23779,1,,24.0,4.0
357,single,,21519,4,,16.0,3.0
358,,,3698,1,,20.0,4.0
359,married,2366.0,20898,1,,14.0,3.0
360,,,7508,1,yes,13.0,3.0
361,divorced,,17725,4,yes,13.0,3.0
362,,2329.0,11737,3,,15.0,
363,,4294.0,11148,1,,12.0,3.0
364,,,17369,0,,11.0,3.0
365,married,6725.0,13554,1,,12.0,3.0
366,married,10325.0,5518,1,,11.0,
367,,4447.0,23163,1,,12.0,3.0
368,single,,2560,0,no,18.0,3.0
369,divorced,,25952,4,no,13.0,
370,,10845.0,24208,6,,13.0,3.0
371,,,13943,8,,11.0,
372,,,17802,0,yes,12.0,3.0
373,married,5472.0,3334,1,,12.0,3.0
374,married,6385.0,12992,3,,14.0,3.0
375,married,6347.0,24920,0,,12.0,3.0
376,single,,11135,9,no,12.0,3.0
377,,7525.0,23537,2,,12.0,3.0
378,married,,22217,1,,14.0,3.0
379,single,,17323,7,no,15.0,3.0
380,single,,12355,1,no,12.0,3.0
381,single,3660.0,7909,3,no,13.0,3.0
382,,,10333,0,,22.0,4.0
383,single,,3129,1,no,22.0,4.0
384,married,,4605,1,,15.0,
385,,8740.0,5569,0,yes,14.0,3.0
386,,,8039,0,,17.0,3.0
387,married,,11535,8,no,11.0,3.0
388,,,13547,7,no,11.0,3.0
389,,,17544,1,no,14.0,
390,married,,17689,1,,15.0,3.0
391,,13499.0,13782,9,no,17.0,3.0
392,,,13421,1,,22.0,4.0
393,divorced,,19588,2,no,18.0,3.0
394,divorced,,18640,3,no,18.0,3.0
395,,,21026,3,,15.0,3.0
396,,,4905,1,no,12.0,3.0
397,divorced,,6865,1,no,14.0,3.0
398,divorced,3491.0,11309,1,,13.0,
399,divorced,5220.0,10893,0,,18.0,3.0
400,single,,2338,4,yes,14.0,3.0
401,divorced,10252.0,4235,2,yes,21.0,4.0
402,,,14377,1,,14.0,3.0
403,,19740.0,18625,3,no,14.0,3.0
404,divorced,,3423,3,no,14.0,3.0
405,single,,20002,6,no,12.0,3.0
406,single,,20364,3,no,14.0,3.0
407,married,,14075,1,,11.0,3.0
408,divorced,,17285,3,yes,13.0,3.0
409,married,6209.0,11693,1,,15.0,3.0
410,married,7094.0,5747,3,no,12.0,3.0
411,single,,21534,9,yes,19.0,3.0
412,single,4534.0,13352,0,,11.0,3.0
413,,8500.0,5494,0,,11.0,
414,,,19461,3,,15.0,3.0
415,married,4639.0,2261,2,no,16.0,3.0
416,,5363.0,10846,0,no,12.0,3.0
417,,,9277,6,,17.0,3.0
418,,,17491,4,,13.0,3.0
419,single,4081.0,20003,1,yes,14.0,3.0
420,married,,16616,0,,14.0,3.0
421,single,3578.0,23577,0,no,12.0,3.0
422,single,,22930,0,yes,12.0,3.0
423,,17328.0,5652,6,,19.0,3.0
424,divorced,,12414,2,no,13.0,3.0
425,,,23099,3,no,11.0,3.0
426,divorced,10793.0,8386,1,,18.0,
427,divorced,,15986,4,no,11.0,3.0
428,,10851.0,19863,2,yes,18.0,3.0
429,divorced,10466.0,20948,3,,14.0,3.0
430,,,23757,1,,14.0,3.0
431,single,2362.0,7568,6,no,13.0,3.0
432,,,7288,3,no,13.0,3.0
433,single,,17381,1,yes,21.0,4.0
434,divorced,6439.0,13693,8,no,14.0,3.0
435,married,,14618,0,,16.0,3.0
436,,,3549,0,yes,14.0,
437,,5769.0,23447,1,,14.0,3.0
438,,4385.0,24162,1,,15.0,
439,,,17000,1,,13.0,3.0
440,,,3835,2,,13.0,3.0
441,divorced,4066.0,16290,1,no,11.0,3.0
442,divorced,,5388,1,,19.0,3.0
443,married,,10503,4,yes,11.0,3.0
444,divorced,5206.0,4973,1,,17.0,3.0
445,single,,22384,4,,14.0,3.0
446,,2655.0,11740,2,,11.0,
447,,2570.0,11925,1,no,20.0,4.0
448,,,14810,1,,19.0,
449,single,4502.0,7439,3,,15.0,
450,single,,9697,6,no,14.0,3.0
451,married,,5151,2,,16.0,3.0
452,,4968.0,26427,0,,16.0,3.0
453,,,3088,2,no,11.0,3.0
454,,5147.0,10697,8,no,15.0,3.0
455,single,2718.0,17674,2,no,14.0,3.0
456,,3539.0,5033,0,no,13.0,3.0
457,,5468.0,13402,1,,14.0,3.0
458,,5813.0,13492,1,,18.0,3.0
459,divorced,,24442,2,no,14.0,3.0
460,single,9667.0,2739,9,no,14.0,3.0
461,married,,10842,4,no,22.0,4.0
462,married,5154.0,19665,4,,22.0,4.0
463,married,5675.0,19246,1,,20.0,4.0
464,,7314.0,14011,5,,21.0,4.0
465,,,18991,2,,11.0,3.0
466,single,,26997,0,no,14.0,3.0
467,married,,14842,9,no,13.0,3.0
468,married,,7102,0,no,18.0,3.0
469,married,,19255,1,,12.0,3.0
470,married,,2125,8,,18.0,3.0
471,divorced,,22914,1,no,18.0,3.0
472,single,,20006,0,no,13.0,3.0
473,,,5099,1,,14.0,3.0
474,,,21075,1,yes,11.0,3.0
475,divorced,,18079,1,,20.0,
476,married,,26862,4,no,20.0,4.0
477,,5098.0,18698,1,no,19.0,3.0
478,married,,21653,0,yes,13.0,
479,single,,5340,7,no,13.0,
480,married,,12695,0,no,19.0,3.0
481,married,13570.0,5640,0,no,23.0,
482,married,6712.0,8978,1,no,21.0,4.0
483,married,,5982,1,no,11.0,3.0
484,,9991.0,21457,4,,15.0,3.0
485,single,,21293,0,no,11.0,
486,married,10248.0,2094,3,,14.0,
487,single,,20445,4,,21.0,
488,divorced,,12888,4,,13.0,3.0
489,single,10938.0,6420,0,no,25.0,4.0
490,divorced,2593.0,8007,0,yes,11.0,3.0
491,married,11878.0,23364,6,,11.0,
492,single,8095.0,18264,0,no,13.0,3.0
493,married,,24619,7,,12.0,3.0
494,single,,20364,7,no,15.0,3.0
495,divorced,,8861,3,no,15.0,3.0
496,,,23398,8,no,19.0,3.0
497,,16856.0,10084,1,,11.0,3.0
498,married,,5594,2,no,14.0,3.0
499,,4537.0,17783,0,,22.0,4.0
500,divorced,17924.0,4544,1,,11.0,3.0
501,married,4014.0,19170,1,,25.0,4.0
502,married,12742.0,7060,1,no,16.0,3.0
503,single,,5083,1,,13.0,3.0
504,,3376.0,18863,1,no,13.0,3.0
505,married,10482.0,2326,9,no,14.0,
506,,,14399,0,no,17.0,3.0
507,single,,15322,7,,19.0,3.0
508,,,6004,1,no,13.0,3.0
509,,,22957,6,,12.0,3.0
510,single,4249.0,2690,1,,11.0,3.0
511,married,6549.0,3173,1,,14.0,
512,married,,22074,3,no,13.0,3.0
513,,14411.0,24450,1,,13.0,3.0
514,,19586.0,23037,1,no,21.0,4.0
515,married,8237.0,4658,2,no,11.0,3.0
516,,3211.0,22102,1,,14.0,3.0
517,single,16704.0,17119,1,,11.0,
518,,,5596,4,,12.0,3.0
519,married,4774.0,23844,0,no,19.0,3.0
520,married,,17312,5,,11.0,3.0
521,married,,13243,2,,14.0,3.0
522,single,,12682,0,yes,12.0,3.0
523,,4568.0,10034,0,no,20.0,4.0
524,divorced,5993.0,2689,1,no,18.0,3.0
525,single,6499.0,22656,1,no,13.0,3.0
526,single,3452.0,9752,5,,13.0,3.0
527,,,22673,1,no,19.0,3.0
528,,6397.0,26767,1,no,20.0,4.0
529,single,,20750,1,no,16.0,3.0
530,married,,4386,0,no,11.0,3.0
531,,,8346,4,yes,13.0,3.0
532,single,,23848,4,,17.0,3.0
533,divorced,,24666,1,no,13.0,3.0
534,married,,15701,6,,12.0,3.0
535,,2725.0,21630,1,,11.0,3.0
536,married,,7999,1,no,11.0,3.0
537,,3622.0,22794,1,yes,13.0,3.0
538,,,16673,1,,20.0,
539,single,6180.0,22807,1,no,23.0,4.0
540,single,6274.0,18686,1,no,22.0,4.0
541,,4381.0,7530,1,,11.0,
542,single,,18869,3,no,21.0,4.0
543,,2559.0,17852,1,,11.0,3.0
544,married,5488.0,20161,1,yes,13.0,3.0
545,divorced,2514.0,26968,4,no,22.0,4.0
546,divorced,,17940,0,no,14.0,3.0
547,married,,5829,1,,20.0,4.0
548,married,3196.0,12449,1,,12.0,3.0
549,married,,19982,1,,13.0,3.0
550,married,,17089,1,yes,12.0,
551,,,9973,1,yes,20.0,4.0
552,,3420.0,10205,7,no,12.0,3.0
553,single,,25470,0,no,14.0,3.0
554,married,4087.0,25174,4,,14.0,3.0
555,divorced,,25518,0,no,13.0,3.0
556,,5368.0,16130,1,yes,25.0,4.0
557,married,12936.0,24164,7,no,11.0,
558,,,19479,8,yes,11.0,3.0
559,married,,16479,0,,13.0,3.0
560,married,,4956,0,no,23.0,4.0
561,,,7346,1,no,17.0,3.0
562,single,,26278,1,no,18.0,3.0
563,,,21698,4,no,11.0,3.0
564,,4221.0,8863,1,,15.0,3.0
565,single,,26959,1,yes,11.0,3.0
566,,4963.0,4510,9,,18.0,3.0
567,married,,23300,1,,19.0,3.0
568,,4200.0,10224,7,no,22.0,4.0
569,single,,23910,1,no,14.0,3.0
570,,,17053,3,,15.0,3.0
571,,,12430,3,no,20.0,4.0
572,,5006.0,6319,4,,11.0,3.0
573,divorced,,5228,4,no,14.0,3.0
574,married,7639.0,24525,1,,22.0,4.0
575,,,4381,0,,12.0,3.0
576,married,,22149,5,yes,13.0,3.0
577,,,11652,0,no,11.0,3.0
578,,6502.0,22825,4,no,14.0,3.0
579,divorced,,15815,3,no,14.0,3.0
580,married,13525.0,14864,5,,14.0,3.0
581,,,5242,1,yes,11.0,3.0
582,,6349.0,22107,0,yes,13.0,3.0
583,single,,10110,6,yes,15.0,3.0
584,,,17663,6,no,20.0,4.0
585,,6380.0,6110,2,yes,12.0,3.0
586,single,,23258,2,yes,13.0,3.0
587,,3102.0,6582,0,,22.0,4.0
588,divorced,,22553,7,,12.0,3.0
589,single,,12090,1,yes,11.0,3.0
590,single,,19558,0,no,11.0,
591,married,,19609,2,,14.0,
592,,4556.0,12932,2,no,11.0,3.0
593,,,24793,2,no,20.0,4.0
594,single,4230.0,19225,0,no,15.0,3.0
595,divorced,,25291,9,,21.0,4.0
596,single,4859.0,6698,1,,16.0,3.0
597,,,26376,1,,11.0,3.0
598,married,6322.0,18089,1,,12.0,3.0
599,,,10339,4,yes,12.0,3.0
600,divorced,,2373,9,no,12.0,3.0
601,divorced,10761.0,19239,4,yes,12.0,3.0
602,,,8635,0,,21.0,4.0
603,,,14871,3,,19.0,3.0
604,married,2973.0,21222,5,,15.0,3.0
605,,5204.0,7790,8,no,11.0,3.0
606,,,7824,7,,17.0,3.0
607,,,9977,5,no,11.0,3.0
608,divorced,17399.0,6615,9,no,22.0,
609,,,11038,3,yes,14.0,3.0
610,married,,8392,6,no,11.0,3.0
611,married,,12154,2,no,19.0,3.0
612,single,16885.0,16154,2,no,22.0,
613,single,,8770,9,no,15.0,3.0
614,,4323.0,7108,1,no,17.0,3.0
615,single,5155.0,2253,7,no,13.0,3.0
616,single,2936.0,10826,1,yes,11.0,3.0
617,married,,26933,0,yes,18.0,
618,,,8429,1,no,13.0,3.0
619,,,9659,7,no,17.0,3.0
620,married,18789.0,9946,2,,14.0,3.0
621,single,,12858,7,yes,18.0,
622,,4883.0,22845,1,,18.0,3.0
623,single,,17235,2,yes,12.0,3.0
624,divorced,2029.0,15891,1,no,20.0,4.0
625,married,,3567,3,,12.0,3.0
626,married,2996.0,5182,7,yes,15.0,3.0
627,married,,19293,6,,13.0,3.0
628,,,3449,3,no,21.0,4.0
629,married,,17363,9,no,13.0,
630,single,9278.0,20763,3,yes,16.0,3.0
631,single,,22604,1,,16.0,3.0
632,married,4162.0,15211,1,yes,12.0,3.0
633,,,3708,5,no,17.0,3.0
634,single,,23490,0,,18.0,3.0
635,,,8192,8,no,11.0,3.0
636,married,,24200,3,,17.0,3.0
637,single,,21831,3,,14.0,3.0
638,married,,4585,4,no,20.0,4.0
639,,,19345,0,,12.0,3.0
640,,8853.0,24483,1,,19.0,3.0
641,married,,11262,1,no,15.0,3.0
642,divorced,4876.0,5855,5,,12.0,3.0
643,,2141.0,5348,1,no,12.0,3.0
644,,7756.0,14199,3,,19.0,3.0
645,married,3936.0,9953,1,,11.0,3.0
646,,,7693,4,no,21.0,4.0
647,divorced,6842.0,26308,6,no,20.0,4.0
648,single,3989.0,20586,1,,11.0,
649,,4930.0,13970,0,yes,14.0,3.0
650,single,,6670,2,,20.0,4.0
651,married,3702.0,16376,1,no,11.0,3.0
652,married,2705.0,9696,0,,16.0,
653,,4448.0,10748,2,,12.0,3.0
654,single,2379.0,19826,0,yes,14.0,3.0
655,,,26841,5,no,21.0,4.0
656,single,5487.0,10410,1,no,14.0,3.0
657,married,,13738,3,no,15.0,3.0
658,,2810.0,9238,1,no,22.0,4.0
659,divorced,8938.0,12227,2,,11.0,3.0
