,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField
75,47,No,travel_rarely,1001.0,,4,3,life sciences
76,38,No,,1394.0, research & development ,8,3,
77,37,No,travel_rarely,161.0,,10,3,life sciences
78,30,No,,288.0,,2,3,
79,58,No,travel_rarely,682.0,,18,4,
80,34,No,travel_rarely,1354.0,,5,3,
81,58,Yes,travel_rarely,147.0,,23,4,medical
82,38,No,,119.0,,3,3,life sciences
83,29,No,travel_frequently,1413.0,,1,1,
84,55,No,travel_rarely,452.0,,1,3,medical
85,41,No,,334.0,,10,4,
86,39,No,travel_rarely,1132.0, research & development ,1,3,
87,38,No,,,,15,2,life sciences
88,43,No,,982.0,,12,3,
89,31,No,,480.0,,30,2,
90,50,No,travel_rarely,1099.0, research & development ,27,4,life sciences
91,35,No,,672.0,,25,3,technical degree
92,47,No,,1379.0,,16,4,
93,35,No,,583.0, research & development ,25,4,
94,40,No,travel_rarely,1492.0,,20,4,
95,45,No,,1050.0, sales ,9,4,life sciences
96,33,No,,117.0, research & development ,9,3,medical
97,36,No,travel_frequently,469.0,,3,3,
98,45,Yes,,,,13,3,marketing
99,51,No,travel_frequently,237.0,,27,3,
100,34,No,travel_rarely,1440.0,,7,2,technical degree
101,43,No,travel_rarely,1291.0, research & development ,15,2,
102,34,No,,1157.0,,5,2,medical
103,38,No,,1336.0,,2,3,
104,48,No,,1224.0,,10,3,
105,34,No,,735.0, research & development ,22,4,other
106,32,No,travel_rarely,,,31,4,
107,29,No,travel_rarely,1389.0,,21,4,life sciences
108,46,No,,638.0,,1,3,medical
109,30,No,,1240.0, human resources ,9,3,
110,45,No,,194.0,,9,3,life sciences
111,30,No,travel_rarely,1339.0,,5,3,
112,30,No,,111.0,,9,3,
113,34,No,travel_frequently,,,29,1,
114,51,No,travel_rarely,1469.0,,8,4,life sciences
115,34,No,,470.0,,39,4,life sciences
116,35,No,travel_rarely,1232.0,,16,3,
117,45,No,travel_frequently,1249.0,,7,3,life sciences
118,39,No,,117.0,,10,1,
119,31,No,,798.0,,7,2,
120,39,No,,672.0, research & development ,7,2,
121,45,No,travel_rarely,549.0,,8,4,
122,30,No,travel_rarely,570.0, sales ,5,3,marketing
123,31,No,,1232.0,,7,4,medical
124,36,No,,541.0,,3,4,medical
125,36,No,travel_rarely,164.0,,2,2,
126,55,No,travel_rarely,1117.0,,18,5,
127,35,No,,619.0,,1,3,
128,42,No,travel_rarely,319.0,,24,3,medical
129,52,No,travel_rarely,956.0,,6,2,
130,49,No,,1245.0,,18,4,life sciences
131,34,No,travel_rarely,1397.0, research & development ,1,5,
132,33,Yes,travel_rarely,527.0,,1,4,other
133,33,No,,213.0, research & development ,7,3,medical
134,53,No,travel_rarely,,,23,4,
135,49,No,travel_rarely,527.0,,8,2,other
136,35,No,,882.0,,21,4,
137,38,No,travel_rarely,330.0,,17,1,life sciences
138,46,No,,406.0, sales ,3,1,marketing
139,36,No,non-travel,217.0,,18,4,
140,42,Yes,travel_frequently,481.0,,15,3,life sciences
141,34,No,travel_frequently,669.0,,1,3,
142,30,No,travel_rarely,1465.0, research & development ,1,3,medical
143,54,No,travel_rarely,685.0,,3,3,life sciences
144,31,No,travel_rarely,1062.0,,24,3,medical
145,44,No,,1099.0,,5,3,
146,55,No,non-travel,177.0,,8,1,
147,44,No,travel_rarely,1199.0,,4,2,life sciences
148,34,No,travel_frequently,648.0, human resources ,11,3,life sciences
149,39,No,,412.0,,13,4,
150,55,No,travel_rarely,282.0,,2,2,medical
151,51,No,,770.0,,5,3,life sciences
152,58,Yes,,601.0,,14,4,medical
153,48,No,,855.0,,4,3,life sciences
154,29,No,travel_rarely,332.0, human resources ,17,3,
155,34,No,,1326.0,,3,3,other
156,42,No,travel_frequently,748.0,,9,2,
157,57,No,travel_rarely,405.0,,1,2,life sciences
158,34,Yes,travel_rarely,790.0,,24,4,
159,54,No,travel_frequently,1050.0,,11,4,medical
160,34,No,travel_rarely,971.0,,1,3,
161,29,No,,1370.0,,3,1,medical
162,35,No,travel_rarely,750.0,,28,3,life sciences
163,35,Yes,,880.0,,12,4,other
164,34,No,travel_rarely,678.0,,19,3,life sciences
165,43,No,,1179.0,,2,3,
166,58,No,non-travel,350.0,,2,3,medical
167,36,No,travel_rarely,1266.0, sales ,14,4,
168,43,No,travel_rarely,574.0,,11,3,life sciences
169,55,No,,189.0,,26,4,human resources
170,42,No,,, research & development ,23,2,
171,40,No,,692.0,,11,3,technical degree
172,56,Yes,,310.0, research & development ,7,2,technical degree
173,39,No,travel_rarely,722.0,,33,1,marketing
174,53,No,travel_rarely,1219.0,,2,4,life sciences
175,27,No,travel_frequently,994.0,,8,3,
176,30,No,travel_frequently,721.0,,1,2,
177,35,No,,853.0,,18,5,life sciences
178,32,No,travel_rarely,427.0, research & development ,1,3,medical
179,30,No,travel_rarely,852.0,,1,1,life sciences
180,46,Yes,,669.0, sales ,9,2,medical
181,30,No,travel_rarely,1334.0,,4,2,
182,32,No,,1093.0,,6,4,
183,35,No,travel_rarely,,,37,5,marketing
184,32,No,,967.0,,8,3,marketing
185,41,No,travel_rarely,465.0, research & development ,34,3,life sciences
186,40,No,travel_rarely,989.0,,4,1,medical
187,45,No,,1195.0,,2,2,
188,32,Yes,travel_rarely,1045.0,,4,4,
189,30,No,non-travel,829.0, research & development ,1,1,life sciences
190,37,No,,663.0,,11,3,
191,37,No,,319.0,,4,4,
192,40,No,,1300.0,,24,2,technical degree
193,36,No,non-travel,1105.0,,24,4,
194,32,No,travel_rarely,906.0,,7,3,life sciences
195,38,No,,849.0,,25,2,life sciences
196,30,No,travel_rarely,1275.0,,28,2,
197,39,No,,1218.0,,1,1,
198,60,No,,422.0,,7,3,life sciences
199,30,No,,1398.0,,22,4,other
200,31,No,travel_rarely,1274.0, research & development ,9,1,
201,33,Yes,,1076.0,,3,3,life sciences
202,50,No,,1207.0,,28,1,medical
203,32,No,,430.0, research & development ,24,4,life sciences
204,42,No,,933.0,,29,3,
205,49,Yes,,1184.0, sales ,11,3,marketing
206,27,No,,,,5,1,
207,33,No,travel_rarely,586.0,,1,3,medical
208,52,No,,890.0, research & development ,26,4,
209,32,No,,379.0,,5,2,life sciences
210,36,No,,1425.0,,14,1,life sciences
211,31,No,non-travel,1188.0, sales ,20,2,
212,36,No,travel_rarely,938.0,,2,4,medical
213,52,No,,1053.0,,1,2,life sciences
214,33,No,non-travel,722.0,,17,3,
215,45,No,non-travel,248.0,,23,2,life sciences
216,36,No,travel_rarely,796.0, research & development ,12,5,
217,49,No,,174.0,,8,4,
218,29,Yes,,408.0,,23,1,
219,29,No,,,,6,1,
220,37,No,,977.0, research & development ,1,3,life sciences
221,33,No,travel_rarely,536.0,,10,5,
222,34,No,travel_frequently,135.0,,19,3,medical
223,28,No,non-travel,1476.0,,1,3,
224,31,No,non-travel,587.0,,2,4,
225,42,No,non-travel,495.0,,2,1,life sciences
226,40,No,travel_rarely,523.0,,2,3,life sciences
227,34,No,,507.0,,15,2,medical
228,58,No,travel_rarely,1055.0,,1,3,
229,31,Yes,travel_frequently,1445.0,,1,5,
230,40,No,non-travel,218.0,,8,1,
231,53,No,,447.0,,2,3,medical
232,34,No,,829.0, research & development ,15,3,
233,35,No,travel_rarely,1029.0,,16,3,life sciences
234,37,No,,674.0,,13,3,
235,42,No,travel_frequently,,,2,3,
236,45,No,,538.0,,1,4,
237,30,Yes,travel_rarely,740.0,,1,3,
238,38,No,travel_rarely,1245.0,,14,3,life sciences
239,50,No,,1234.0,,20,5,medical
240,39,No,travel_rarely,170.0,,3,2,
241,34,No,travel_rarely,1130.0,,3,3,
242,54,No,travel_rarely,584.0, research & development ,22,5,
243,41,No,travel_rarely,918.0,,6,3,marketing
244,39,No,,792.0,,1,3,life sciences
245,40,No,travel_rarely,611.0,,7,4,
246,33,No,,,,4,3,technical degree
247,36,No,,1383.0,,10,3,life sciences
248,33,No,,867.0,,8,4,life sciences
249,34,No,travel_rarely,,,8,2,
250,29,No,travel_frequently,574.0, research & development ,46,1,medical
251,46,No,travel_rarely,706.0,,2,2,life sciences
252,27,No,travel_rarely,728.0,,23,1,medical
253,31,No,,311.0,,36,3,life sciences
254,45,No,travel_rarely,556.0, research & development ,25,2,life sciences
255,34,No,travel_rarely,937.0,,1,3,marketing
256,31,No,,1125.0, research & development ,1,3,life sciences
257,35,No,,1224.0,,7,4,
258,39,No,travel_rarely,119.0,,15,4,marketing
259,40,No,travel_rarely,444.0,,2,2,marketing
260,30,No,travel_rarely,911.0,,1,2,medical
261,47,No,,, research & development ,1,1,
262,52,No,non-travel,585.0,,29,4,
263,49,No,travel_frequently,,,8,1,
264,33,No,travel_frequently,1392.0,,19,4,life sciences
265,32,No,,1005.0,,2,2,life sciences
266,38,No,travel_frequently,, research & development ,23,3,
267,36,No,travel_rarely,1299.0, research & development ,27,3,medical
268,42,No,,,,8,4,
269,31,No,,655.0, research & development ,7,4,life sciences
270,31,No,travel_rarely,746.0,,8,4,
271,51,No,,632.0,,21,4,marketing
272,34,Yes,travel_frequently,658.0,,7,3,
273,36,No,,1467.0,,11,2,technical degree
274,30,No,travel_frequently,1312.0,,23,3,
275,33,No,non-travel,750.0,,12,2,
276,31,Yes,,249.0,,6,4,life sciences
277,41,No,travel_rarely,802.0,,23,1,
278,26,No,travel_rarely,1355.0,,25,1,
279,32,No,,689.0,,9,2,
280,40,No,travel_frequently,1395.0,,26,3,
281,53,No,travel_rarely,1436.0, sales ,6,2,marketing
282,29,No,non-travel,1496.0, research & development ,1,1,technical degree
283,36,No,travel_frequently,1480.0, research & development ,3,2,
284,33,No,travel_rarely,, research & development ,14,3,
285,51,No,travel_rarely,313.0,,3,3,
286,27,No,travel_rarely,894.0,,9,3,medical
287,37,No,,290.0,,21,3,life sciences
288,38,No,,1084.0,,29,3,
289,49,No,non-travel,1002.0,,18,4,
290,27,No,,1242.0,,20,3,life sciences
291,45,No,,1052.0, sales ,6,3,medical
292,35,No,,944.0,,1,3,
293,33,Yes,travel_rarely,465.0,,2,2,
294,52,No,,771.0,,2,4,life sciences
295,40,No,,1416.0, research & development ,2,2,medical
296,38,No,non-travel,1327.0, sales ,2,2,life sciences
297,46,No,,488.0,,27,3,
298,45,No,travel_rarely,1385.0,,20,2,medical
299,47,Yes,non-travel,666.0,,10,4,life sciences
300,35,No,,1315.0,,22,3,life sciences
301,29,No,travel_frequently,442.0,,2,2,
302,55,No,travel_rarely,147.0, research & development ,20,2,technical degree
303,26,Yes,travel_rarely,950.0,,45,4,
304,31,No,travel_rarely,218.0,,7,3,technical degree
305,43,No,travel_frequently,,,10,4,life sciences
306,31,No,travel_rarely,691.0,,13,3,marketing
307,32,No,,1018.0,,2,4,medical
308,33,No,,,,10,3,
309,43,No,travel_frequently,559.0, research & development ,10,4,life sciences
310,29,Yes,travel_rarely,318.0,,8,4,
311,27,No,,1130.0, sales ,8,4,
312,29,No,travel_rarely,144.0,,10,1,
313,37,No,,1319.0,,6,3,medical
314,26,No,travel_rarely,933.0,,1,3,
315,40,No,travel_rarely,1171.0,,10,4,life sciences
316,41,Yes,,143.0,,4,3,
317,51,No,travel_rarely,1178.0,,14,2,
318,37,No,,1107.0,,14,3,
319,56,No,,906.0,,6,3,life sciences
320,41,No,travel_rarely,645.0, sales ,1,3,marketing
321,46,No,,1485.0,,18,3,medical
322,30,No,non-travel,1116.0,,2,3,
323,35,No,travel_rarely,1276.0,,16,3,life sciences
324,48,No,travel_rarely,163.0,,2,5,
325,45,No,travel_rarely,561.0,,2,3,other
326,26,Yes,travel_frequently,426.0,,17,4,life sciences
327,41,No,,509.0,,2,4,other
328,34,No,,258.0,,21,4,
329,31,No,travel_rarely,525.0,,6,4,medical
330,43,No,travel_frequently,,,9,5,
331,53,No,,238.0, sales ,1,1,
332,37,No,travel_rarely,482.0,,3,3,other
333,54,No,,397.0,,19,4,
334,38,No,travel_rarely,243.0, sales ,7,4,marketing
335,29,No,,806.0, research & development ,1,4,life sciences
336,34,No,,1442.0,,9,3,medical
337,39,No,,408.0,,2,4,technical degree
338,32,No,,929.0,,10,3,marketing
339,38,No,travel_rarely,827.0,,1,4,life sciences
340,27,No,travel_rarely,,,1,2,life sciences
341,32,No,travel_rarely,1018.0,,3,2,life sciences
342,47,No,,703.0,,35,4,marketing
343,27,No,travel_frequently,294.0,,10,2,
344,41,No,,314.0,,1,3,
345,28,Yes,,654.0, research & development ,35,2,
346,36,No,,427.0, research & development ,8,3,
347,30,No,,501.0,,27,5,marketing
348,56,No,travel_rarely,,,9,3,
349,45,No,travel_rarely,954.0,,2,2,
350,36,No,non-travel,1434.0,,8,4,
351,29,No,,657.0,,27,3,medical
352,38,No,,240.0,,2,4,life sciences
353,40,No,,791.0,,13,2,medical
354,42,No,travel_frequently,570.0,,8,3,
355,36,No,travel_rarely,676.0,,1,3,other
356,29,No,travel_rarely,,,23,2,
357,55,Yes,,436.0,,2,1,medical
358,28,No,,760.0, sales ,2,4,
359,26,Yes,,,,5,2,medical
360,44,No,,661.0,,9,2,
361,41,Yes,,1085.0, research & development ,2,4,life sciences
362,31,No,travel_rarely,154.0,,7,4,
363,26,No,travel_frequently,1283.0, sales ,28,3,medical
364,31,No,,616.0,,12,3,medical
365,32,No,,498.0,,3,4,medical
366,36,Yes,travel_rarely,530.0,,3,1,life sciences
367,45,No,non-travel,805.0,,47,2,
368,39,No,travel_rarely,903.0,,2,5,
369,36,No,non-travel,1229.0,,8,4,technical degree
370,46,No,,566.0,,7,2,medical
371,54,No,travel_rarely,1441.0,,17,3,technical degree
372,30,No,travel_rarely,153.0,,8,2,
373,26,No,,1066.0,,2,2,medical
374,55,No,travel_frequently,135.0,,18,4,medical
375,50,No,non-travel,145.0, sales ,1,3,life sciences
376,32,No,non-travel,1109.0,,29,4,
377,53,No,travel_frequently,124.0,,2,3,marketing
378,40,No,travel_rarely,300.0,,26,3,
379,55,No,,444.0,,2,1,
380,28,Yes,non-travel,1366.0,,24,2,
381,28,No,travel_rarely,857.0,,10,3,other
382,35,Yes,,1204.0,,4,3,technical degree
383,33,Yes,travel_frequently,827.0, research & development ,36,4,medical
384,25,Yes,,1219.0, research & development ,4,1,technical degree
385,38,No,,770.0, sales ,10,4,
386,28,No,,950.0,,12,3,
387,43,No,travel_frequently,1082.0,,27,3,life sciences
388,39,Yes,travel_frequently,203.0, research & development ,2,3,life sciences
389,40,No,travel_rarely,1308.0,,14,3,
390,29,No,travel_rarely,718.0,,8,1,medical
391,40,No,,593.0,,32,4,
392,26,No,travel_rarely,1384.0,,3,4,
393,35,No,travel_rarely,819.0,,2,3,
394,53,No,,1223.0, research & development ,7,2,medical
395,35,No,,1361.0,,17,4,life sciences
396,33,No,,1146.0,,25,3,medical
397,36,No,,, research & development ,6,4,life sciences
398,30,No,travel_rarely,853.0,,7,4,life sciences
399,60,No,,,,29,4,
400,32,No,,1316.0,,2,2,life sciences
401,36,No,,363.0,,1,3,technical degree
402,27,No,travel_rarely,1103.0,,14,3,
403,43,No,,920.0, research & development ,3,3,life sciences
404,29,No,travel_rarely,694.0,,1,3,
405,59,No,,1429.0,,24,4,
406,43,No,travel_rarely,531.0,,4,4,marketing
407,44,Yes,travel_rarely,621.0,,15,3,medical
408,29,Yes,,806.0, research & development ,7,3,technical degree
409,32,No,travel_rarely,604.0,,8,3,
410,36,No,travel_rarely,325.0,,10,4,technical degree
411,52,Yes,,1030.0, sales ,5,3,
412,39,No,travel_rarely,524.0,,33,2,
413,34,No,,943.0,,9,3,
414,38,No,,1009.0,,2,2,life sciences
415,36,No,travel_frequently,607.0, sales ,12,3,marketing
416,35,No,,817.0,,1,3,
417,55,Yes,,,,13,4,
418,34,No,,,,29,3,
419,43,No,,930.0,,6,3,medical
420,42,No,travel_rarely,1147.0,,10,3,human resources
421,26,No,travel_rarely,652.0,,7,3,
422,29,Yes,,337.0,,14,1,other
423,54,No,,971.0, research & development ,1,3,
424,55,No,,1136.0,,1,4,
425,40,No,non-travel,663.0,,9,4,other
426,31,No,,326.0,,8,2,
427,46,Yes,,377.0,,9,3,marketing
428,45,No,travel_rarely,1038.0,,20,3,medical
429,49,No,travel_rarely,1490.0,,7,4,life sciences
430,29,No,travel_rarely,1246.0,,19,3,
431,29,Yes,,224.0,,1,4,technical degree
432,29,No,,441.0,,8,1,other
433,40,No,travel_rarely,898.0, human resources ,6,2,
434,48,No,,, sales ,16,4,life sciences
435,53,Yes,,607.0,,2,5,
436,44,No,,1313.0,,7,3,medical
437,45,No,,1015.0,,5,5,
438,45,No,non-travel,,,26,3,marketing
439,34,No,travel_frequently,426.0,,10,4,
440,39,No,,1387.0, research & development ,10,5,medical
441,27,No,,1302.0, research & development ,36,3,
442,45,No,travel_rarely,1329.0,,2,2,
443,44,No,,602.0,,1,5,
444,25,No,,772.0,,2,1,life sciences
445,49,No,,809.0,,1,3,
446,48,Yes,travel_frequently,,,7,2,
447,26,No,,786.0,,7,3,medical
448,44,No,travel_rarely,921.0,,2,3,life sciences
449,36,No,,530.0,,2,4,
450,46,No,,717.0, research & development ,13,4,
451,35,No,,1370.0,,27,4,life sciences
452,30,No,travel_frequently,1312.0,,2,4,
453,30,No,,979.0,,15,2,marketing
454,33,No,non-travel,1283.0,,2,3,marketing
455,32,No,,953.0,,5,4,
456,43,No,travel_rarely,244.0,,2,3,life sciences
457,31,No,travel_rarely,196.0,,29,4,marketing
458,35,Yes,,303.0,,27,3,
459,35,No,non-travel,1180.0, research & development ,2,2,medical
460,30,No,,1092.0,,10,3,medical
461,46,Yes,travel_rarely,261.0,,19,2,medical
462,45,No,non-travel,589.0,,2,4,
463,43,No,travel_frequently,1422.0,,2,4,life sciences
464,46,Yes,,,,10,3,life sciences
465,40,No,travel_rarely,1137.0, research & development ,1,4,
466,27,No,travel_rarely,511.0, sales ,2,2,
467,42,No,,1396.0,,6,3,medical
468,26,No,travel_frequently,1096.0,,6,3,other
469,28,No,travel_frequently,,,1,2,life sciences
470,47,No,,1169.0,,14,4,
471,34,No,travel_rarely,1239.0,,13,4,medical
472,26,No,,157.0, research & development ,1,3,medical
473,27,No,travel_rarely,954.0,,9,3,
474,31,Yes,travel_frequently,754.0, sales ,26,4,marketing
475,33,No,travel_frequently,1303.0,,7,2,life sciences
476,31,No,,697.0,,10,3,
477,35,No,,1395.0,,9,4,medical
478,33,No,travel_rarely,501.0,,15,2,
479,39,No,travel_rarely,116.0,,24,1,life sciences
480,36,No,travel_rarely,557.0,,46,3,
481,41,No,travel_rarely,582.0,,28,4,life sciences
482,34,No,,704.0, sales ,28,3,marketing
483,38,No,travel_rarely,,,10,2,
484,39,No,travel_rarely,613.0,,6,1,
485,34,No,travel_rarely,419.0,,7,4,
486,44,No,travel_rarely,477.0,,7,4,medical
487,46,No,,1211.0,,5,4,
488,41,No,travel_frequently,857.0, research & development ,10,3,life sciences
489,39,No,,505.0, research & development ,2,4,
490,42,No,travel_rarely,269.0,,2,3,medical
491,33,No,travel_frequently,553.0, research & development ,5,4,
492,35,No,travel_rarely,1296.0,,5,4,technical degree
493,33,Yes,travel_rarely,1277.0,,15,1,medical
494,40,No,travel_rarely,302.0,,6,3,life sciences
495,41,No,travel_rarely,427.0,,10,4,human resources
496,27,No,,975.0,,7,3,
497,52,No,travel_rarely,621.0,,3,4,marketing
498,51,No,travel_rarely,1318.0,,26,4,marketing
499,47,No,travel_rarely,249.0,,2,2,marketing
500,50,No,non-travel,881.0, research & development ,2,4,
501,35,No,travel_rarely,1137.0, research & development ,21,1,life sciences
502,39,No,travel_rarely,466.0,,1,1,
503,39,No,travel_frequently,945.0,,22,3,medical
504,41,No,,509.0,,7,2,
505,44,Yes,,1376.0, human resources ,1,2,medical
506,42,No,,469.0,,2,2,medical
507,52,No,travel_rarely,994.0,,7,4,life sciences
508,38,No,,433.0,,1,3,
509,46,No,,991.0, human resources ,1,2,life sciences
510,35,No,,482.0,,4,4,life sciences
511,28,No,travel_rarely,1083.0, research & development ,29,1,life sciences
512,44,No,,136.0,,28,3,life sciences
513,50,No,,333.0,,22,5,
514,55,No,travel_rarely,685.0,,23,5,marketing
515,39,No,,1462.0, sales ,6,3,
516,49,No,,722.0, research & development ,13,4,
517,45,No,,,,28,2,technical degree
518,46,No,,1277.0,,2,3,
519,27,No,,1131.0,,15,3,
520,42,No,travel_rarely,300.0,,2,3,
521,49,No,,1023.0, sales ,2,3,
522,29,No,travel_rarely,153.0,,15,2,life sciences
523,34,No,non-travel,1065.0,,12,4,marketing
524,37,No,,1115.0,,1,4,
525,36,No,,1195.0,,11,3,
526,45,No,,1316.0,,29,3,
527,29,No,travel_rarely,665.0,,15,3,
528,26,No,,1479.0,,1,3,
529,28,No,,304.0,,9,4,life sciences
530,42,No,travel_frequently,1368.0,,30,4,technical degree
531,31,No,travel_rarely,828.0, sales ,2,1,life sciences
532,37,No,travel_rarely,799.0,,47,3,
533,37,No,non-travel,142.0,,9,4,
534,37,No,travel_rarely,446.0,,1,4,life sciences
535,24,No,travel_rarely,691.0,,23,3,medical
536,50,No,,1246.0,,3,3,
537,34,No,,254.0,,1,2,life sciences
538,27,No,travel_frequently,1410.0,,3,1,medical
539,25,No,,883.0, sales ,42,1,
540,34,No,,304.0, sales ,25,3,other
541,34,No,,121.0, research & development ,2,4,
542,35,No,,950.0,,7,3,other
543,35,No,,1343.0,,16,1,medical
544,33,No,,827.0, research & development ,1,4,
545,29,No,,1107.0,,28,4,life sciences
546,29,No,travel_frequently,490.0, research & development ,10,3,
547,34,No,,1400.0,,9,1,life sciences
548,28,No,travel_rarely,1179.0,,19,4,medical
549,44,No,,1117.0,,2,1,life sciences
550,31,No,travel_rarely,1332.0, research & development ,11,2,
551,26,No,,583.0, research & development ,4,2,life sciences
552,47,No,travel_rarely,465.0,,1,3,
553,37,No,,1413.0, research & development ,5,2,
554,32,No,,1200.0,,1,4,
555,32,No,,977.0,,2,3,medical
556,33,No,non-travel,530.0,,16,3,life sciences
557,47,Yes,,1093.0, sales ,9,3,
558,41,Yes,,1102.0,,1,2,
559,35,No,travel_rarely,809.0, research & development ,16,3,medical
560,29,No,travel_rarely,1328.0,,2,3,life sciences
561,32,No,travel_rarely,548.0,,1,3,life sciences
562,35,No,travel_rarely,1214.0,,1,3,medical
563,56,No,,,,13,3,
564,28,No,,120.0,,4,3,medical
565,25,Yes,travel_rarely,240.0,,5,3,
566,56,Yes,,441.0,,14,4,life sciences
567,26,No,,841.0, research & development ,6,3,
568,32,Yes,,1033.0,,9,3,medical
569,30,No,travel_rarely,,,18,3,life sciences
570,50,No,travel_rarely,1452.0,,11,3,
571,32,No,,120.0,,6,5,life sciences
572,45,No,travel_rarely,1268.0,,4,2,
573,43,No,,,,7,3,
574,29,Yes,,121.0,,27,3,marketing
575,31,No,non-travel,, research & development ,1,4,medical
576,33,Yes,,813.0,,14,3,
577,31,Yes,,307.0,,29,2,
578,37,No,,228.0,,6,4,
579,50,No,,797.0, research & development ,4,1,
580,42,No,travel_frequently,555.0,,26,3,
581,27,No,,1377.0,,2,3,
582,27,No,non-travel,210.0,,1,1,marketing
583,41,No,travel_rarely,483.0,,6,3,
584,37,No,travel_rarely,921.0,,10,3,medical
585,40,Yes,,575.0,,22,2,
586,55,No,,1311.0,,2,3,
587,26,Yes,travel_frequently,575.0,,3,1,
588,40,No,travel_rarely,759.0,,2,2,marketing
589,25,No,,891.0, sales ,4,2,
590,30,No,,1082.0,,12,3,
591,52,No,travel_rarely,319.0,,32,3,
592,42,No,travel_frequently,532.0,,12,2,
593,30,No,travel_rarely,317.0,,2,3,life sciences
594,35,No,travel_rarely,144.0,,22,3,life sciences
595,31,No,travel_rarely,688.0,,7,3,
596,35,No,travel_rarely,195.0, sales ,1,3,
597,25,No,,622.0,,13,1,
598,32,No,travel_rarely,646.0,,9,4,
599,47,Yes,,719.0,,27,2,life sciences
600,30,No,travel_frequently,1012.0,,5,4,life sciences
601,45,No,,930.0,,9,3,marketing
602,36,No,travel_rarely,1278.0,,8,3,life sciences
603,31,No,,1222.0,,11,4,
604,37,No,travel_frequently,1231.0,,21,2,medical
605,39,No,travel_rarely,1383.0,,2,3,life sciences
606,42,No,,462.0,,14,2,
607,30,No,travel_rarely,231.0,,8,2,
608,50,No,,,,1,2,medical
609,59,No,travel_rarely,1089.0, sales ,1,2,
610,54,No,,1082.0,,2,4,life sciences
611,56,No,,1240.0,,9,3,medical
