,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
10,41,no,non-travel,"247,0$",,7,1,,1,"1035,0",2,1,55,1,5, research director ,3,,"19973,0",20284,1,y,no,22,"4,0",2,,2,,3,"3,0",21,,5,10,"19973,0",1982,1000000000$,,,0
11,56,no,travel_rarely,"1369,0$",,23,3,life sciences,1,,4,0,68,3,4, manufacturing director ,2,married,"13402,0",18235,4,,yes,12,,1,,1,"33,0",0,"3,0",19,,15,9,"13402,0",1967,1000000000$,,,false
12,38,no,,"201,0$",,10,3,medical,1,,2,1,99,1,3, research director ,3,married,"13206,0",3376,3,y,no,12,"3,0",1,,1,,3,"3,0",18,,1,11,"13206,0",1985,1000000000$,,,1
13,41,yes,travel_rarely,"1360,0$",,12,3,,1,"58,0",2,1,49,3,5, research director ,3,married,"19545,0",16280,1,,no,12,"3,0",4,,0,,0,"3,0",22,,15,8,"19545,0",1982,1000000000$,,,false
14,55,no,,"692,0$",,14,4,medical,1,,3,0,61,4,5, research director ,2,single,,13339,8,,no,11,"3,0",4,,0,,3,"3,0",24,,2,15,,1968,1000000000$,,,true
15,40,no,travel_rarely,"1398,0$",,2,4,,1,"558,0",3,1,79,3,5, manager ,3,,"18041,0",13022,0,,no,14,"3,0",4,,0,,2,"3,0",20,,1,12,"18041,0",1983,1000000000$,,,0
16,58,yes,travel_rarely,"286,0$",,2,4,,1,"825,0",4,0,31,3,5, research director ,2,single,"19246,0",25761,7,y,yes,12,"3,0",4,,0,"40,0",2,"3,0",31,,13,8,"19246,0",1965,1000000000$,,,0
17,46,no,travel_rarely,"1402,0$",,2,3,,1,,3,1,69,3,4, manager ,1,,,24097,8,,,23,"4,0",1,,0,"28,0",2,"3,0",26,,15,9,,1977,1000000000$,,,false
18,35,no,,"819,0$",,-13,5,life sciences,1,,2,0,48,4,2, research scientist ,1,married,,26312,1,,,11,"3,0",4,,0,,2,"3,0",16,,1,10,,1988,1000000000$,,,false
19,40,no,travel_rarely,"884,0$",,15,3,life sciences,1,,1,1,80,2,3, manufacturing director ,3,,,25800,1,y,,13,"3,0",4,,2,"18,0",2,,18,,14,12,,1983,1000000000$,,,true
20,45,no,non-travel,"1238,0$", research & development ,1,1,,1,"1712,0",3,0,74,2,3, healthcare representative ,3,,"10748,0",3395,3,y,,23,"4,0",4,,1,"25,0",3,"2,0",23,,14,4,"10748,0",1978,1000000000$, healthcare representative  -  research & development ,,false
21,33,no,,"515,0$",,1,2,life sciences,1,"73,0",1,1,98,3,3, research director ,4,single,,15146,1,,yes,12,"3,0",3,,0,"15,0",1,"3,0",15,,8,12,,1990,1000000000$,,,true
22,36,no,,"1223,0$",,8,3,,1,,3,1,59,3,3, healthcare representative ,3,divorced,,8202,1,y,,13,,2,,3,"17,0",2,"3,0",17,,12,8,,1987,1000000000$,,,1
23,47,no,,"202,0$",,2,2,other,1,"820,0",3,1,33,3,4, manager ,4,married,"16752,0",12982,1,,,11,"3,0",3,"80,0",1,,3,"2,0",26,,3,0,"16752,0",1976,1000000000$,,,false
24,36,no,travel_rarely,"928,0$",,-42,2,life sciences,1,,42,0,56,3,2, sales executive ,4,,"6201,0",2823,1,y,,14,"3,0",4,,1,"18,0",1,,18,,4,11,"6201,0",1987,1000000000$,,,true
25,35,no,,"607,0$",,9,3,life sciences,1,,4,1,66,2,3, manufacturing director ,3,married,,23457,1,y,yes,20,"4,0",2,"80,0",1,"17,0",2,"3,0",17,,5,15,,1988,1000000000$,,,false
26,52,yes,,"266,0$",,2,1,,1,,1,1,57,1,5, manager ,4,married,"19845,0",25846,1,y,no,15,"3,0",4,,1,"33,0",3,"3,0",32,,6,9,"19845,0",1971,1000000000$,,,1
27,36,no,,"429,0$",,2,4,life sciences,1,"1294,0",3,1,53,3,2, manufacturing director ,2,single,,2323,9,y,yes,11,"3,0",4,,0,"18,0",2,"3,0",16,,5,12,,1987,1000000000$,,,0
28,33,no,travel_rarely,"589,0$",,28,4,life sciences,1,,2,0,79,3,2, laboratory technician ,3,married,,22949,1,y,,12,"3,0",2,,1,"15,0",3,"3,0",15,,5,7,,1990,1000000000$,,,yes
29,34,no,non-travel,nan$, sales ,10,3,life sciences,1,"1774,0",4,0,87,3,2, sales executive ,3,,"4001,0",12313,1,y,yes,14,"3,0",3,,1,"15,0",3,"3,0",15,,0,7,"4001,0",1989,1000000000$, sales executive  -  sales ,,1
30,41,no,,nan$, sales ,-37,1,,1,"1815,0",37,1,81,3,3, sales executive ,3,divorced,"10447,0",26458,0,,,13,"3,0",4,,1,,3,"4,0",22,,13,5,"10447,0",1982,1000000000$, sales executive  -  sales ,,yes
31,forty-seven,no,,"1180,0$", research & development ,25,3,medical,1,"1993,0",1,0,84,3,3, healthcare representative ,3,,,13084,2,,,23,"4,0",2,,0,"25,0",3,"3,0",17,,12,11,,1976,1000000000$, healthcare representative  -  research & development ,,yes
32,53,no,travel_rarely,"1282,0$",,5,3,,1,"32,0",3,1,58,3,5, manager ,3,,,10735,4,,,11,"3,0",4,,1,"26,0",3,"2,0",14,,4,8,,1970,1000000000$,,,yes
33,35,no,,"776,0$",,1,4,marketing,1,"100,0",3,0,32,2,2, sales executive ,1,single,,23016,0,y,no,14,,2,"80,0",0,"16,0",2,"3,0",15,,2,8,,1988,1000000000$,,,0
34,34,no,travel_rarely,"665,0$",,6,4,other,1,,1,1,41,3,2, research scientist ,3,single,,12482,1,y,,14,"3,0",3,,0,"16,0",3,"3,0",16,,2,10,,1989,1000000000$,,,true
35,46,no,travel_rarely,"526,0$",,1,2,,1,"244,0",2,1,92,3,3, sales executive ,1,divorced,,2137,1,,no,25,"4,0",3,,3,"24,0",2,"3,0",24,,15,7,,1977,1000000000$,,,yes
36,43,no,,"1034,0$",,16,3,,1,"327,0",4,1,80,3,4, manager ,4,married,"16064,0",7744,5,,,22,"4,0",3,,1,"22,0",3,"3,0",17,,1,9,"16064,0",1980,1000000000$,,,1
37,36,no,,"1403,0$", research & development ,6,3,life sciences,1,"373,0",4,0,47,3,1, laboratory technician ,4,married,"3210,0",20251,0,,,11,"3,0",3,,1,"16,0",4,"3,0",15,,10,11,"3210,0",1987,1000000000$, laboratory technician  -  research & development ,,true
38,60,no,travel_frequently,"1499,0$",,28,3,,1,,3,1,80,2,3, sales executive ,1,married,"10266,0",2845,4,y,no,19,"3,0",4,,0,"22,0",5,"4,0",18,"13,0",13,11,"10266,0",1963,1000000000$,,,1
39,40,no,travel_frequently,"580,0$",,5,4,,1,"729,0",4,0,48,2,3, sales executive ,1,married,"10475,0",23772,5,,yes,21,"4,0",3,"80,0",1,"20,0",2,"3,0",18,,1,12,"10475,0",1983,1000000000$,,,0
40,32,no,travel_rarely,"859,0$",,4,3,,1,"830,0",3,1,98,2,2, manufacturing director ,3,married,"6162,0",19124,1,y,no,12,"3,0",3,"80,0",1,"14,0",3,"3,0",14,,6,8,"6162,0",1991,1000000000$,,,0
41,41,no,travel_rarely,"263,0$",,-35,3,,1,,35,0,59,3,1, laboratory technician ,1,single,"4721,0",3119,2,,yes,13,,3,,0,"20,0",3,"3,0",18,,2,17,"4721,0",1982,1000000000$,,,1
42,53,no,,"1376,0$",,2,2,medical,1,"981,0",3,0,not available,3,4, manager ,3,divorced,,13938,6,,no,13,"3,0",3,,1,"22,0",3,"4,0",17,,15,2,,1970,1000000000$,,,false
43,36,yes,travel_rarely,"885,0$",,16,4,,1,"1042,0",3,1,43,4,1, laboratory technician ,1,single,,8269,1,y,,16,"3,0",3,"80,0",0,"18,0",1,"3,0",17,,15,14,,1987,1000000000$,,,yes
44,46,no,,"1003,0$",,8,4,life sciences,1,"1080,0",4,1,74,2,2, research scientist ,1,divorced,"4615,0",21029,8,,yes,23,"4,0",1,,3,,2,"3,0",16,,1,7,"4615,0",1977,1000000000$,,,0
45,38,no,travel_rarely,"1321,0$",,1,4,,1,"1995,0",4,0,86,3,2, sales executive ,2,married,,7636,0,,no,15,"3,0",1,,2,"16,0",3,,15,,5,8,,1985,1000000000$,,,1
46,51,no,,nan$,,1,4,,1,"145,0",1,1,30,2,3, healthcare representative ,1,single,,25796,3,,,20,"4,0",3,,0,"23,0",1,"2,0",13,,12,8,,1972,1000000000$,,,true
47,43,no,,"394,0$",,26,2,,1,"158,0",3,0,92,3,4, manager ,4,married,"16959,0",19494,1,,yes,12,"3,0",4,"80,0",2,"25,0",3,"4,0",25,,4,12,"16959,0",1980,1000000000$,,,1
48,37,no,,"1372,0$",,1,3,life sciences,1,"391,0",4,1,42,3,1, research scientist ,4,single,,15881,1,,no,12,"3,0",2,"80,0",0,,3,"3,0",17,,5,7,,1986,1000000000$,,,yes
49,32,no,travel_rarely,nan$,,8,2,technical degree,1,"436,0",3,1,65,2,2, sales executive ,2,married,,24624,1,,yes,11,"3,0",4,"80,0",0,,2,"3,0",13,"12,0",11,9,,1991,1000000000$,,,true
50,38,no,,"1333,0$",,1,3,,1,,4,1,80,3,3, research director ,1,married,,16292,1,,,13,"3,0",2,,1,"15,0",3,"3,0",15,,5,11,,1985,1000000000$,,,false
51,46,no,,"228,0$",,3,3,life sciences,1,"1527,0",3,1,51,3,4, manager ,2,,,11380,8,,no,12,"3,0",4,"80,0",1,"23,0",2,"4,0",13,,5,1,,1977,1000000000$,,,yes
52,35,yes,travel_rarely,"737,0$",,10,3,medical,1,,4,0,55,2,3, sales executive ,1,married,"10306,0",21530,9,,,17,"3,0",3,,0,"15,0",3,,13,,6,0,"10306,0",1988,1000000000$,,,0
53,43,no,,"823,0$",,6,3,medical,1,"1866,0",1,1,81,2,5, manager ,3,married,,22539,7,,no,13,"3,0",4,,0,"21,0",2,"3,0",16,,6,14,,1980,1000000000$,,,yes
54,56,no,non-travel,"667,0$",,1,4,life sciences,1,"2026,0",3,0,57,3,2, healthcare representative ,3,divorced,,26236,1,y,no,21,,1,,1,,2,"2,0",13,,1,9,,1967,1000000000$,,,yes
55,36,no,non-travel,"301,0$",,15,4,marketing,1,,4,0,88,1,2, sales executive ,4,divorced,"5406,0",10436,1,y,no,24,"4,0",1,"80,0",1,,4,"2,0",15,,11,11,"5406,0",1987,1000000000$,,,1
56,38,no,,"573,0$",,6,3,medical,1,"107,0",2,1,79,1,2, research scientist ,4,,,15717,7,y,,12,"3,0",4,,3,"17,0",3,"3,0",13,,1,9,,1985,1000000000$,,,yes
57,49,no,,nan$,,-26,4,medical,1,"170,0",3,1,96,3,2, manufacturing director ,1,,,5549,1,,no,14,"3,0",3,,0,"16,0",2,"2,0",15,,5,11,,1974,1000000000$,,,0
58,39,no,travel_rarely,"1329,0$",,4,4,life sciences,1,,4,1,47,2,2, sales executive ,3,married,"5902,0",14590,4,,,14,"3,0",3,"80,0",1,"17,0",1,"4,0",15,,5,9,"5902,0",1984,1000000000$,,,yes
59,40,no,,"630,0$",,4,4,,1,"215,0",3,0,67,2,3, sales executive ,4,married,"10855,0",8552,7,y,no,11,,1,,1,"15,0",2,"2,0",12,,2,11,"10855,0",1983,1000000000$,,,yes
60,36,no,,nan$,,5,2,,1,"304,0",4,0,62,3,2, laboratory technician ,2,single,"5914,0",9945,8,y,no,16,"3,0",4,"80,0",0,"16,0",3,"4,0",13,,3,7,"5914,0",1987,1000000000$,,,1
61,37,no,,"1063,0$",,25,5,,1,"529,0",2,1,72,3,2, research scientist ,3,married,,23866,3,y,yes,15,"3,0",1,"80,0",2,"15,0",2,"3,0",13,,10,7,,1986,1000000000$,,,0
62,35,no,,"1017,0$",,6,4,,1,"691,0",2,0,82,1,2, research scientist ,4,,"6646,0",19368,1,y,,13,"3,0",2,,0,,3,"3,0",17,,11,8,"6646,0",1988,1000000000$,,,yes
63,33,no,travel_frequently,"1296,0$",,6,3,life sciences,1,"692,0",3,0,not available,3,2, healthcare representative ,4,divorced,,5335,3,,no,23,"4,0",3,,1,"15,0",2,"1,0",13,,4,7,,1990,1000000000$,,,false
64,50,no,travel_rarely,"939,0$", research & development ,24,3,,1,"1005,0",4,0,not available,3,4, manufacturing director ,3,married,"13973,0",4161,3,,yes,18,"3,0",4,,1,"22,0",2,"3,0",12,,1,5,"13973,0",1973,1000000000$, manufacturing director  -  research & development ,,false
65,48,no,travel_rarely,"1355,0$",,4,4,,1,"1024,0",3,0,78,2,3, healthcare representative ,3,single,,22245,7,,,14,,2,"80,0",0,"27,0",3,"3,0",15,"11,0",4,8,,1975,1000000000$,,,yes
66,44,no,travel_rarely,"1448,0$", sales ,28,3,,1,"1039,0",4,1,53,4,4, sales executive ,4,married,"13320,0",11737,3,,,18,"3,0",3,"80,0",1,,2,"3,0",12,,11,11,"13320,0",1979,1000000000$, sales executive  -  sales ,,1
67,44,no,travel_rarely,"200,0$",,29,4,,1,"1225,0",4,0,32,3,2, research scientist ,4,single,,7744,1,y,,25,"4,0",2,,0,,3,"3,0",20,,13,17,,1979,1000000000$,,,yes
68,40,no,,"1202,0$",,-25,1,,1,"1375,0",25,1,89,4,2, healthcare representative ,3,,,13888,5,,no,20,"4,0",2,,3,"15,0",0,"3,0",12,,11,8,,1983,1000000000$,,,true
69,34,no,travel_rarely,"404,0$",,2,4,,1,,3,1,98,3,2, healthcare representative ,4,single,"6687,0",6163,1,,,11,"3,0",4,"80,0",0,"14,0",2,"4,0",14,,4,11,"6687,0",1989,1000000000$,,,true
70,35,no,non-travel,"208,0$", research & development ,8,4,,1,,3,1,52,3,2, healthcare representative ,3,,,12250,1,,,12,"3,0",4,"80,0",1,,5,"3,0",14,,2,9,,1988,1000000000$, healthcare representative  -  research & development ,,true
71,50,no,,"813,0$",,17,5,life sciences,1,,4,1,50,2,3, research director ,1,,,21981,5,,no,15,"3,0",3,,3,,3,"3,0",14,"11,0",1,11,,1973,1000000000$,,,0
72,49,no,,"465,0$",,6,1,life sciences,1,"1661,0",3,1,41,2,4, healthcare representative ,3,,,11652,2,,,19,"3,0",2,"80,0",1,,3,"3,0",15,,2,12,,1974,1000000000$,,,yes
73,38,no,travel_frequently,"1189,0$",,1,3,life sciences,1,"1668,0",4,0,90,3,2, research scientist ,4,,"4735,0",9867,7,y,no,15,"3,0",4,"80,0",2,"19,0",4,,13,,2,9,"4735,0",1985,1000000000$,,,true
74,33,no,,nan$,,21,3,,1,"1698,0",2,0,79,4,1, laboratory technician ,2,,,13637,1,,no,18,"3,0",4,,3,"14,0",6,,14,,2,13,,1990,1000000000$,,,true
75,47,no,travel_rarely,"1001,0$",,4,3,life sciences,1,,3,1,92,2,3, manufacturing director ,2,divorced,,19271,8,,yes,12,,3,,1,,4,"3,0",22,,14,10,,1976,1000000000$,,,yes
76,38,no,,"1394,0$", research & development ,8,3,,1,"1937,0",4,1,58,2,2, research scientist ,2,divorced,,18115,1,,,16,"3,0",3,,1,"20,0",3,"3,0",20,,0,7,,1985,1000000000$, research scientist  -  research & development ,,0
77,37,no,travel_rarely,"161,0$",,10,3,life sciences,1,"2017,0",3,1,42,4,3, research director ,4,,,15471,1,,yes,25,"4,0",1,,1,"16,0",2,"3,0",16,,6,8,,1986,1000000000$,,,yes
78,30,no,,"288,0$",,2,3,,1,"117,0",3,0,99,2,2, healthcare representative ,4,married,,15830,1,,no,19,,1,"80,0",3,"11,0",3,"3,0",11,,10,8,,1993,1000000000$,,,yes
79,fifty-eight,no,travel_rarely,"682,0$",,-18,4,,1,"131,0",4,0,37,3,4, sales executive ,3,single,"13872,0",24409,0,,,13,"3,0",3,,0,"38,0",1,"2,0",37,,1,8,"13872,0",1965,1000000000$,,,1
80,34,no,travel_rarely,"1354,0$",,5,3,,1,"153,0",3,1,45,2,3, manager ,1,single,,5615,2,,,12,"3,0",4,"80,0",0,"14,0",6,"3,0",11,,5,8,,1989,1000000000$,,,0
81,58,yes,travel_rarely,"147,0$",,23,4,medical,1,,4,1,94,3,3, healthcare representative ,4,married,,3465,1,,,12,"3,0",4,,1,"40,0",3,"2,0",40,,15,6,,1965,1000000000$,,,yes
82,38,no,,"119,0$",,3,3,life sciences,1,"307,0",1,0,76,3,3, sales executive ,3,divorced,,9647,0,y,,12,"3,0",3,,2,,6,"2,0",16,,5,13,,1985,1000000000$,,,1
83,29,no,travel_frequently,"1413,0$",,1,1,,1,,2,1,42,3,3, sales executive ,4,married,,6599,1,y,,14,"3,0",4,,1,"11,0",5,"3,0",11,,4,1,,1994,1000000000$,,,true
84,55,no,travel_rarely,"452,0$",,1,3,medical,1,"374,0",4,0,81,3,5, manager ,1,single,"19045,0",18938,0,y,,14,"3,0",3,,0,"37,0",2,"3,0",36,,4,13,"19045,0",1968,1000000000$,,,1
85,41,no,,"334,0$",,-10,4,,1,,4,0,88,3,4, manager ,2,,"16015,0",15896,1,,,19,"3,0",2,,0,,2,"3,0",22,,0,4,"16015,0",1982,1000000000$,,,yes
86,39,no,travel_rarely,"1132,0$", research & development ,1,3,,1,,3,0,48,4,3, healthcare representative ,4,,"9613,0",10942,0,,no,17,,1,"80,0",3,"19,0",5,"2,0",18,,3,7,"9613,0",1984,1000000000$, healthcare representative  -  research & development ,,0
87,38,no,,nan$,,15,2,life sciences,1,,3,0,92,2,3, research director ,4,,"11510,0",15682,0,,,14,"3,0",2,,1,,3,"3,0",11,,2,9,"11510,0",1985,1000000000$,,,1
88,43,no,,"982,0$",,12,3,,1,,1,0,59,2,4, research director ,2,,,4345,1,,no,11,"3,0",3,"80,0",1,,3,,25,,3,9,,1980,1000000000$,,,true
89,31,no,,"480,0$",,-30,2,,1,"524,0",2,1,31,3,2, manufacturing director ,1,married,"4306,0",4156,1,,no,12,"3,0",2,"80,0",1,"13,0",5,"1,0",13,,3,12,"4306,0",1992,1000000000$,,,yes
90,50,no,travel_rarely,"1099,0$", research & development ,-27,4,life sciences,1,"569,0",27,0,88,2,4, manager ,3,marreid,"17046,0",9314,0,y,no,15,"3,0",2,,1,"28,0",2,"3,0",27,,15,7,"17046,0",1973,1000000000$, manager  -  research & development ,,true
91,35,no,,"672,0$",,25,3,technical degree,1,"899,0",4,0,78,2,3, manufacturing director ,2,married,,9129,3,y,no,16,,1,,0,,2,"3,0",13,,4,8,,1988,1000000000$,,,0
92,47,no,,"1379,0$",,16,4,,1,,3,0,64,4,2, manufacturing director ,3,,"5067,0",6759,1,,yes,19,"3,0",3,,0,"20,0",3,,19,,2,7,"5067,0",1976,1000000000$,,,yes
93,35,no,,"583,0$", research & development ,25,4,,1,"1014,0",3,1,57,3,3, healthcare representative ,3,divorced,,6975,1,,yes,11,,3,,1,,3,"2,0",16,,10,1,,1988,1000000000$, healthcare representative  -  research & development ,,1
94,40,no,travel_rarely,"1492,0$",,20,4,,1,,1,0,61,3,3, healthcare representative ,4,married,,26542,4,y,,20,"4,0",4,,1,"14,0",6,"3,0",11,,11,1,,1983,1000000000$,,,1
95,45,no,,"1050,0$", sales ,9,4,life sciences,1,"1117,0",2,1,65,2,2, sales executive ,3,married,,17970,1,y,,13,"3,0",4,"80,0",1,"15,0",2,"3,0",15,,4,12,,1978,1000000000$, sales executive  -  sales ,,0
96,33,no,,"117,0$", research & development ,9,3,medical,1,"1238,0",1,0,60,3,1, research scientist ,4,married,,6311,0,y,,13,"3,0",2,,1,"15,0",5,"3,0",14,,4,10,,1990,1000000000$, research scientist  -  research & development ,,false
97,36,no,travel_frequently,"469,0$",,3,3,,1,,3,0,46,3,1, research scientist ,2,married,"3692,0",9256,1,y,no,12,"3,0",3,,0,"12,0",2,"2,0",11,,0,7,"3692,0",1987,1000000000$,,,false
98,45,yes,,nan$,,-13,3,marketing,1,"1277,0",1,1,94,1,5, manager ,2,,,2493,2,,yes,16,"3,0",1,,0,"26,0",2,"3,0",24,,1,11,,1978,1000000000$,,,true
99,51,no,travel_frequently,"237,0$",,-27,3,,1,,27,0,83,3,5, manager ,2,,"19847,0",19196,4,,yes,24,,1,,1,,5,"2,0",29,,11,10,"19847,0",1972,1000000000$,,,0
100,34,no,travel_rarely,"1440,0$",,7,2,technical degree,1,"1541,0",2,0,55,3,1, sales representative ,3,,"2308,0",4944,0,,yes,25,"4,0",2,,1,"12,0",4,"3,0",11,,5,7,"2308,0",1989,1000000000$,,,0
101,43,no,travel_rarely,"1291,0$", research & development ,15,2,,1,"1666,0",3,0,65,2,4, research director ,3,,,3525,1,,no,24,"4,0",1,,1,,3,"3,0",14,,6,11,,1980,1000000000$, research director  -  research & development ,,1
102,34,no,,"1157,0$",,5,2,medical,1,"1696,0",2,0,57,2,2, laboratory technician ,4,,,11912,1,y,no,14,"3,0",3,,1,,3,,15,,4,13,,1989,1000000000$,,,0
103,38,no,,"1336,0$",,2,3,,1,"1805,0",1,0,100,3,1, human resources ,2,divorced,,7129,5,,no,13,"3,0",4,,3,"13,0",3,"3,0",11,,3,8,,1985,1000000000$,,,1
104,48,no,,"1224,0$",,10,3,,1,,4,0,91,2,5, research director ,2,,,13583,4,y,no,12,"3,0",4,,0,"29,0",3,"3,0",22,,12,9,,1975,1000000000$,,,0
105,34,no,,"735,0$", research & development ,22,4,other,1,"1932,0",3,0,86,2,2, research scientist ,4,married,"5747,0",26496,1,,yes,15,"3,0",2,,0,"16,0",3,"3,0",15,,6,11,"5747,0",1989,1000000000$, research scientist  -  research & development ,,false
106,32,no,travel_rarely,nan$,,-31,4,,1,"2016,0",31,1,48,3,3, sales executive ,4,,"10422,0",24032,1,y,no,19,"3,0",3,,2,"14,0",3,"3,0",14,,5,7,"10422,0",1991,1000000000$,,,yes
107,29,no,travel_rarely,"1389,0$",,21,4,life sciences,1,"20,0",2,1,51,4,3, manufacturing director ,1,divorced,,10195,1,y,no,11,"3,0",3,,1,"10,0",1,"3,0",10,,8,8,,1994,1000000000$,,,0
108,46,no,,"638,0$",,1,3,medical,1,,3,0,40,2,3, healthcare representative ,1,married,,3142,2,,yes,13,"3,0",3,,1,"21,0",5,"2,0",10,,9,5,,1977,1000000000$,,,false
109,30,no,,"1240,0$", human resources ,9,3,,1,"184,0",3,0,48,3,2, human resources ,4,married,"6347,0",13982,0,,yes,19,"3,0",4,"80,0",0,,2,"1,0",11,,4,7,"6347,0",1993,1000000000$, human resources  -  human resources ,,0
110,45,no,,"194,0$",,9,3,life sciences,1,"206,0",2,0,60,3,2, laboratory technician ,2,,"2348,0",10901,8,y,no,18,"3,0",3,,1,"20,0",2,,17,,0,15,"2348,0",1978,1000000000$,,,yes
111,30,no,travel_rarely,"1339,0$",,5,3,,1,"228,0",2,1,41,3,3, sales executive ,4,,,8053,2,y,no,12,"3,0",3,,1,,2,"3,0",10,,7,4,,1993,1000000000$,,,true
112,30,no,,"111,0$",,9,3,,1,"239,0",3,0,66,3,2, laboratory technician ,1,,"3072,0",11012,1,y,no,11,,3,"80,0",2,"12,0",4,"3,0",12,,6,10,"3072,0",1993,1000000000$,,,yes
113,34,no,travel_frequently,nan$,,-29,1,,1,"256,0",4,0,45,2,2, manufacturing director ,3,married,,14074,1,,,17,"3,0",3,,0,"10,0",2,"2,0",10,,1,9,,1989,1000000000$,,,false
114,51,no,travel_rarely,"1469,0$",,8,4,life sciences,1,,2,0,81,2,3, research director ,2,married,"12490,0",15736,5,,no,16,"3,0",4,,2,"16,0",5,"1,0",10,,4,7,"12490,0",1972,1000000000$,,,0
115,34,no,,"470,0$",,-39,4,life sciences,1,"339,0",39,0,84,2,2, manufacturing director ,1,,,23687,6,,,13,"3,0",2,,1,"13,0",3,"3,0",11,,5,9,,1989,1000000000$,,,1
116,35,no,travel_rarely,"1232,0$",,16,3,,1,"406,0",3,0,96,3,3, sales executive ,2,married,"8020,0",5100,0,y,,15,"3,0",3,,2,"12,0",3,"2,0",11,,6,9,"8020,0",1988,1000000000$,,,1
117,45,no,travel_frequently,"1249,0$",,7,3,life sciences,1,,1,0,97,3,3, laboratory technician ,1,,,20308,1,y,,18,"3,0",1,,1,"24,0",2,"3,0",24,,9,11,,1978,1000000000$,,,yes
118,39,no,,"117,0$",,10,1,,1,"429,0",3,0,99,3,4, manager ,1,married,"17068,0",5355,1,,,14,,4,,0,"21,0",3,"3,0",21,,11,10,"17068,0",1984,1000000000$,,,yes
119,31,no,,"798,0$",,7,2,,1,,3,1,48,2,3, manufacturing director ,3,married,"8943,0",14034,1,,no,24,"4,0",1,,1,"10,0",2,"3,0",10,,8,9,"8943,0",1992,1000000000$,,,false
120,39,no,,"672,0$", research & development ,7,2,,1,"444,0",3,0,54,2,5, manager ,4,married,"19272,0",21141,1,y,,15,"3,0",1,,1,,2,"3,0",21,,13,3,"19272,0",1984,1000000000$, manager  -  research & development ,,true
121,45,no,travel_rarely,"549,0$",,8,4,,1,"452,0",4,0,75,3,2, research scientist ,4,,,9278,9,y,no,14,"3,0",1,"80,0",2,"12,0",3,"3,0",10,,9,8,,1978,1000000000$,,,true
