,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Totalworkingyears,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearsincurrentrole,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework,Employee_id
121,no,travel rarely,549.0,8,4,unknown,452,4,H,75.0,3,2, research scientist ,4,unknown,9278,9,no,14,3,1,2,12,3,3,10,0,9,8,1978,yes,452
122,no,travel rarely,570.0,5,3,marketing,456,4,M,30.0,2,2, sales executive ,3,unknown,5431,1,unknown,13,3,3,3,10,2,3,10,0,1,2,1993,unknown,456
123,no,unknown,1232.0,7,4,medical,0,3,M,39.0,3,3, manufacturing director ,4,unknown,25713,1,unknown,14,3,3,0,11,2,2,11,0,4,10,1992,no,11786
124,no,unknown,541.0,3,4,medical,481,1,H,48.0,2,3, sales executive ,4,married,7246,4,no,11,3,1,1,16,2,3,13,0,1,12,1987,yes,481
125,no,travel rarely,164.0,2,2,unknown,513,2,H,61.0,2,3, sales executive ,3,married,3809,1,unknown,13,3,2,2,10,2,3,10,0,9,0,1987,yes,513
126,no,travel rarely,1117.0,18,5,unknown,597,1,M,83.0,3,4, manager ,2,single,9873,3,no,23,4,4,0,37,2,3,10,0,7,7,1968,yes,597
127,no,unknown,619.0,1,3,unknown,600,2,H,85.0,3,2, sales executive ,3,unknown,18659,9,unknown,11,3,3,0,15,2,3,11,0,6,9,1988,yes,600
128,no,travel rarely,319.0,24,3,medical,0,4,H,56.0,3,3, manufacturing director ,1,married,6950,1,unknown,21,4,4,1,10,5,2,10,0,5,8,1981,no,17160
129,no,travel rarely,956.0,6,2,unknown,630,4,H,78.0,3,2, research scientist ,1,divorced,22087,3,yes,12,0,2,2,18,3,3,10,0,6,9,1971,unknown,630
130,no,unknown,1245.0,18,4,life sciences,638,4,H,58.0,2,5, research director ,3,unknown,2125,1,yes,17,3,3,1,0,5,3,31,0,0,9,1974,yes,638
131,no,travel rarely,1397.0,1,5,unknown,683,2,H,42.0,3,1, research scientist ,4,married,7660,1,no,12,3,4,1,0,4,2,10,0,8,8,1989,unknown,683
132,yes,travel rarely,527.0,1,4,other,780,4,H,63.0,3,1, research scientist ,4,single,5207,1,unknown,13,3,3,0,10,2,2,10,0,7,8,1990,no,780
133,no,unknown,213.0,7,3,medical,817,3,H,49.0,3,3, research director ,3,married,25995,0,no,11,3,4,0,0,3,4,13,0,3,7,1990,yes,817
134,no,travel rarely,797.0,23,4,unknown,901,4,M,72.0,3,4, research director ,4,unknown,20206,6,no,18,3,3,0,33,0,3,12,0,3,8,1970,yes,901
135,no,travel rarely,527.0,8,2,other,944,1,M,51.0,3,3, laboratory technician ,2,married,22477,4,unknown,11,3,3,1,29,3,2,26,0,1,7,1974,no,944
136,no,unknown,882.0,21,4,unknown,984,21,H,66.0,3,3, sales executive ,4,unknown,6812,6,unknown,13,3,2,1,0,2,3,10,0,0,8,1988,no,984
137,no,travel rarely,330.0,17,1,life sciences,1088,3,M,65.0,2,3, healthcare representative ,3,married,24608,0,unknown,18,3,1,1,20,4,2,19,0,1,9,1985,no,1088
138,no,unknown,406.0,3,1,marketing,1124,1,H,66.0,3,4, manager ,3,married,15596,3,no,12,3,4,1,0,3,3,12,0,4,9,1977,no,1124
139,no,non-travel,217.0,18,4,unknown,0,1,H,78.0,3,2, manufacturing director ,4,single,23238,2,unknown,20,4,1,0,18,0,3,11,0,0,9,1987,no,11132
140,yes,travel frequently,481.0,15,3,life sciences,1167,15,H,44.0,3,4, sales executive ,1,single,2447,0,unknown,12,0,2,0,0,2,2,21,0,13,14,1981,unknown,1167
141,no,travel frequently,669.0,1,3,unknown,1184,4,H,97.0,2,2, healthcare representative ,1,single,25755,0,no,20,4,3,0,14,3,3,13,0,4,9,1989,yes,1184
142,no,travel rarely,1465.0,1,3,medical,0,4,H,63.0,3,1, research scientist ,2,unknown,9369,0,yes,21,4,1,1,12,2,3,11,0,5,7,1993,yes,17677
143,no,travel rarely,685.0,3,3,life sciences,0,4,H,85.0,3,4, research director ,4,married,23474,3,no,14,3,1,0,36,2,3,10,0,0,9,1969,yes,2796
144,no,travel rarely,1062.0,24,3,medical,1252,3,M,96.0,2,2, healthcare representative ,1,single,17198,1,no,19,0,2,0,10,2,3,10,0,1,8,1992,no,1252
145,no,unknown,1099.0,5,3,unknown,1267,2,H,88.0,3,5, manager ,2,married,8751,7,no,11,3,3,1,26,5,3,22,0,3,10,1979,yes,1267
146,no,non-travel,177.0,8,1,unknown,1278,4,H,37.0,2,4, healthcare representative ,2,divorced,25592,1,yes,15,3,4,1,0,3,3,33,0,15,0,1968,no,1278
147,no,travel rarely,1199.0,4,2,life sciences,1288,3,H,92.0,4,5, manager ,1,divorced,17477,1,no,14,3,4,2,0,4,2,25,0,14,13,1979,no,1288
148,no,travel frequently,648.0,11,3,life sciences,0,3,H,56.0,2,2, human resources ,2,unknown,21833,4,no,11,3,4,2,14,5,4,10,0,1,8,1989,yes,3878
149,no,unknown,412.0,13,4,unknown,1307,3,M,94.0,2,4, manager ,2,divorced,17334,6,yes,13,3,4,2,0,4,3,19,0,15,2,1984,no,1307
150,no,travel rarely,282.0,2,2,medical,1336,4,M,58.0,1,5, manager ,3,unknown,6992,4,unknown,14,0,4,1,23,5,3,19,0,9,11,1968,yes,1336
151,no,unknown,770.0,5,3,life sciences,1352,3,H,84.0,3,4, manager ,2,unknown,17588,1,unknown,11,3,2,1,0,2,3,33,0,0,10,1972,yes,1352
152,yes,unknown,601.0,14,4,medical,1360,14,M,53.0,2,3, manufacturing director ,1,married,12023,7,unknown,14,3,4,0,0,0,2,10,0,5,9,1965,yes,1360
153,no,unknown,855.0,4,3,life sciences,0,4,H,54.0,3,3, manufacturing director ,4,single,18706,1,no,11,3,3,0,11,2,3,10,0,0,8,1975,yes,16492
154,no,travel rarely,332.0,17,3,unknown,1419,2,H,51.0,2,3, human resources ,1,single,9769,1,unknown,13,3,1,0,0,3,2,10,0,0,9,1994,no,1419
155,no,unknown,1326.0,3,3,other,1478,4,H,81.0,1,2, sales executive ,1,single,15891,3,no,18,0,4,0,15,2,3,13,0,3,12,1989,yes,1478
156,no,travel frequently,748.0,9,2,unknown,1480,1,M,74.0,3,1, laboratory technician ,4,unknown,16458,1,unknown,13,3,3,0,12,3,3,12,0,5,8,1981,unknown,1480
157,no,travel rarely,405.0,1,2,life sciences,0,2,H,93.0,4,2, research scientist ,3,married,2721,0,no,24,4,1,1,13,2,2,12,0,2,8,1966,yes,6416
