,Age,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework,Employee_id
24,36,No,travel_rarely,928.0,42,2,life sciences,,4.0,H,56.0,3.0,2.0, sales executive ,4.0,unknown,2823,1,no,14.0,3.0,4.0,1.0,1.0,3.0,18.0,4,11,1987,yes,5684
25,35,No,travel_rarely,607.0,9,3,life sciences,,4.0,M,66.0,2.0,3.0, manufacturing director ,3.0,married,23457,1,yes,20.0,4.0,2.0,1.0,2.0,3.0,17.0,5,15,1988,no,13615
26,52,Yes,travel_rarely,266.0,2,1,unknown,,1.0,M,57.0,1.0,5.0, manager ,4.0,married,25846,1,no,15.0,3.0,4.0,1.0,3.0,3.0,32.0,6,9,1971,yes,7670
27,36,No,travel_rarely,429.0,2,4,life sciences,1294.0,3.0,M,53.0,3.0,2.0, manufacturing director ,2.0,single,2323,9,yes,11.0,3.0,4.0,0.0,2.0,3.0,16.0,5,12,1987,no,1294
28,33,No,travel_rarely,589.0,28,4,life sciences,,2.0,H,79.0,3.0,2.0, laboratory technician ,3.0,married,22949,1,no,12.0,3.0,2.0,1.0,3.0,3.0,15.0,5,7,1990,yes,16217
29,34,No,non-travel,804.0,10,3,life sciences,1774.0,4.0,H,87.0,3.0,2.0, sales executive ,3.0,unknown,12313,1,yes,14.0,3.0,3.0,1.0,3.0,3.0,15.0,0,7,1989,yes,1774
30,41,No,travel_rarely,804.0,37,1,unknown,1815.0,3.0,M,81.0,3.0,3.0, sales executive ,3.0,divorced,26458,0,no,13.0,3.0,4.0,1.0,3.0,4.0,22.0,13,5,1982,yes,1815
31,47,No,travel_rarely,1180.0,25,3,medical,1993.0,1.0,H,84.0,3.0,3.0, healthcare representative ,3.0,unknown,13084,2,no,23.0,4.0,2.0,0.0,3.0,3.0,17.0,12,11,1976,yes,1993
32,53,No,travel_rarely,1282.0,5,3,unknown,32.0,3.0,M,58.0,3.0,5.0, manager ,3.0,unknown,10735,4,no,11.0,3.0,4.0,1.0,3.0,2.0,14.0,4,8,1970,yes,32
33,35,No,travel_rarely,776.0,1,4,marketing,100.0,3.0,H,32.0,2.0,2.0, sales executive ,1.0,single,23016,0,no,14.0,3.0,2.0,0.0,2.0,3.0,15.0,2,8,1988,no,100
34,34,No,travel_rarely,665.0,6,4,other,,1.0,M,41.0,3.0,2.0, research scientist ,3.0,single,12482,1,no,14.0,3.0,3.0,0.0,3.0,3.0,16.0,2,10,1989,yes,19549
35,46,No,travel_rarely,526.0,1,2,unknown,244.0,2.0,M,92.0,3.0,3.0, sales executive ,1.0,divorced,2137,1,no,25.0,4.0,3.0,3.0,2.0,3.0,24.0,15,7,1977,yes,244
36,43,No,travel_rarely,1034.0,16,3,unknown,327.0,4.0,M,80.0,3.0,4.0, manager ,4.0,married,7744,5,no,22.0,4.0,3.0,1.0,3.0,3.0,17.0,1,9,1980,yes,327
37,36,No,travel_rarely,1403.0,6,3,life sciences,373.0,4.0,H,47.0,3.0,1.0, laboratory technician ,4.0,married,20251,0,no,11.0,3.0,3.0,1.0,4.0,3.0,15.0,10,11,1987,yes,373
38,60,No,travel_frequently,1499.0,28,3,unknown,,3.0,M,80.0,2.0,3.0, sales executive ,1.0,married,2845,4,no,19.0,3.0,4.0,0.0,5.0,4.0,18.0,13,11,1963,yes,19438
39,40,No,travel_frequently,580.0,5,4,unknown,729.0,4.0,H,48.0,2.0,3.0, sales executive ,1.0,married,23772,5,yes,21.0,4.0,3.0,1.0,2.0,3.0,18.0,1,12,1983,no,729
40,32,No,travel_rarely,859.0,4,3,unknown,830.0,3.0,M,98.0,2.0,2.0, manufacturing director ,3.0,married,19124,1,no,12.0,3.0,3.0,1.0,3.0,3.0,14.0,6,8,1991,no,830
41,41,No,travel_rarely,263.0,35,3,unknown,,3.0,H,59.0,3.0,1.0, laboratory technician ,1.0,single,3119,2,yes,13.0,3.0,3.0,0.0,3.0,3.0,18.0,2,17,1982,yes,4287
42,53,No,travel_rarely,1376.0,2,2,medical,981.0,3.0,H,0.0,3.0,4.0, manager ,3.0,divorced,13938,6,no,13.0,3.0,3.0,1.0,3.0,4.0,17.0,15,2,1970,no,981
43,36,Yes,travel_rarely,885.0,16,4,unknown,1042.0,3.0,M,43.0,4.0,1.0, laboratory technician ,1.0,single,8269,1,no,16.0,3.0,3.0,0.0,1.0,3.0,17.0,15,14,1987,yes,1042
44,46,No,travel_rarely,1003.0,8,4,life sciences,1080.0,4.0,M,74.0,2.0,2.0, research scientist ,1.0,divorced,21029,8,yes,23.0,4.0,1.0,3.0,2.0,3.0,16.0,1,7,1977,no,1080
45,38,No,travel_rarely,1321.0,1,4,unknown,1995.0,4.0,H,86.0,3.0,2.0, sales executive ,2.0,married,7636,0,no,15.0,3.0,1.0,2.0,3.0,3.0,15.0,5,8,1985,yes,1995
46,51,No,travel_rarely,804.0,1,4,unknown,145.0,1.0,M,30.0,2.0,3.0, healthcare representative ,1.0,single,25796,3,no,20.0,4.0,3.0,0.0,1.0,2.0,13.0,12,8,1972,yes,145
47,43,No,travel_rarely,394.0,26,2,unknown,158.0,3.0,H,92.0,3.0,4.0, manager ,4.0,married,19494,1,yes,12.0,3.0,4.0,2.0,3.0,4.0,25.0,4,12,1980,yes,158
48,37,No,travel_rarely,1372.0,1,3,life sciences,391.0,4.0,M,42.0,3.0,1.0, research scientist ,4.0,single,15881,1,no,12.0,3.0,2.0,0.0,3.0,3.0,17.0,5,7,1986,yes,391
49,32,No,travel_rarely,804.0,8,2,technical degree,436.0,3.0,M,65.0,2.0,2.0, sales executive ,2.0,married,24624,1,yes,11.0,3.0,4.0,0.0,2.0,3.0,13.0,11,9,1991,yes,436
50,38,No,travel_rarely,1333.0,1,3,unknown,,4.0,M,80.0,3.0,3.0, research director ,1.0,married,16292,1,no,13.0,3.0,2.0,1.0,3.0,3.0,15.0,5,11,1985,no,11395
51,46,No,travel_rarely,228.0,3,3,life sciences,1527.0,3.0,M,51.0,3.0,4.0, manager ,2.0,unknown,11380,8,no,12.0,3.0,4.0,1.0,2.0,4.0,13.0,5,1,1977,yes,1527
52,35,Yes,travel_rarely,737.0,10,3,medical,,4.0,H,55.0,2.0,3.0, sales executive ,1.0,married,21530,9,no,17.0,3.0,3.0,0.0,3.0,3.0,13.0,6,0,1988,no,3407
53,43,No,travel_rarely,823.0,6,3,medical,1866.0,1.0,M,81.0,2.0,5.0, manager ,3.0,married,22539,7,no,13.0,3.0,4.0,0.0,2.0,3.0,16.0,6,14,1980,yes,1866
54,56,No,non-travel,667.0,1,4,life sciences,2026.0,3.0,H,57.0,3.0,2.0, healthcare representative ,3.0,divorced,26236,1,no,21.0,3.0,1.0,1.0,2.0,2.0,13.0,1,9,1967,yes,2026
55,36,No,non-travel,301.0,15,4,marketing,,4.0,H,88.0,1.0,2.0, sales executive ,4.0,divorced,10436,1,no,24.0,4.0,1.0,1.0,4.0,2.0,15.0,11,11,1987,yes,9364
56,38,No,travel_rarely,573.0,6,3,medical,107.0,2.0,M,79.0,1.0,2.0, research scientist ,4.0,unknown,15717,7,no,12.0,3.0,4.0,3.0,3.0,3.0,13.0,1,9,1985,yes,107
57,49,No,travel_rarely,804.0,26,4,medical,170.0,3.0,M,96.0,3.0,2.0, manufacturing director ,1.0,unknown,5549,1,no,14.0,3.0,3.0,0.0,2.0,2.0,15.0,5,11,1974,no,170
58,39,No,travel_rarely,1329.0,4,4,life sciences,,4.0,M,47.0,2.0,2.0, sales executive ,3.0,married,14590,4,no,14.0,3.0,3.0,1.0,1.0,4.0,15.0,5,9,1984,yes,14792
59,40,No,travel_rarely,630.0,4,4,unknown,215.0,3.0,H,67.0,2.0,3.0, sales executive ,4.0,married,8552,7,no,11.0,3.0,1.0,1.0,2.0,2.0,12.0,2,11,1983,yes,215
60,36,No,travel_rarely,804.0,5,2,unknown,304.0,4.0,H,62.0,3.0,2.0, laboratory technician ,2.0,single,9945,8,no,16.0,3.0,4.0,0.0,3.0,4.0,13.0,3,7,1987,yes,304
61,37,No,travel_rarely,1063.0,25,5,unknown,529.0,2.0,M,72.0,3.0,2.0, research scientist ,3.0,married,23866,3,yes,15.0,3.0,1.0,2.0,2.0,3.0,13.0,10,7,1986,no,529
62,35,No,travel_rarely,1017.0,6,4,unknown,691.0,2.0,H,82.0,1.0,2.0, research scientist ,4.0,unknown,19368,1,no,13.0,3.0,2.0,0.0,3.0,3.0,17.0,11,8,1988,yes,691
63,33,No,travel_frequently,1296.0,6,3,life sciences,692.0,3.0,H,0.0,3.0,2.0, healthcare representative ,4.0,divorced,5335,3,no,23.0,4.0,3.0,1.0,2.0,1.0,13.0,4,7,1990,no,692
64,50,No,travel_rarely,939.0,24,3,unknown,1005.0,4.0,H,0.0,3.0,4.0, manufacturing director ,3.0,married,4161,3,yes,18.0,3.0,4.0,1.0,2.0,3.0,12.0,1,5,1973,no,1005
65,48,No,travel_rarely,1355.0,4,4,unknown,1024.0,3.0,H,78.0,2.0,3.0, healthcare representative ,3.0,single,22245,7,no,14.0,3.0,2.0,0.0,3.0,3.0,15.0,4,8,1975,yes,1024
66,44,No,travel_rarely,1448.0,28,3,unknown,1039.0,4.0,M,53.0,4.0,4.0, sales executive ,4.0,married,11737,3,no,18.0,3.0,3.0,1.0,2.0,3.0,12.0,11,11,1979,yes,1039
67,44,No,travel_rarely,200.0,29,4,unknown,1225.0,4.0,H,32.0,3.0,2.0, research scientist ,4.0,single,7744,1,no,25.0,4.0,2.0,0.0,3.0,3.0,20.0,13,17,1979,yes,1225
68,40,No,travel_rarely,1202.0,25,1,unknown,1375.0,2.0,M,89.0,4.0,2.0, healthcare representative ,3.0,unknown,13888,5,no,20.0,4.0,2.0,3.0,0.0,3.0,12.0,11,8,1983,yes,1375
69,34,No,travel_rarely,404.0,2,4,unknown,,3.0,M,98.0,3.0,2.0, healthcare representative ,4.0,single,6163,1,no,11.0,3.0,4.0,0.0,2.0,4.0,14.0,4,11,1989,yes,12358
70,35,No,non-travel,208.0,8,4,unknown,,3.0,M,52.0,3.0,2.0, healthcare representative ,3.0,unknown,12250,1,no,12.0,3.0,4.0,1.0,5.0,3.0,14.0,2,9,1988,yes,3746
71,50,No,travel_rarely,813.0,17,5,life sciences,,4.0,M,50.0,2.0,3.0, research director ,1.0,unknown,21981,5,no,15.0,3.0,3.0,3.0,3.0,3.0,14.0,1,11,1973,no,10689
72,49,No,travel_rarely,465.0,6,1,life sciences,1661.0,3.0,M,41.0,2.0,4.0, healthcare representative ,3.0,unknown,11652,2,no,19.0,3.0,2.0,1.0,3.0,3.0,15.0,2,12,1974,yes,1661
73,38,No,travel_frequently,1189.0,1,3,life sciences,1668.0,4.0,H,90.0,3.0,2.0, research scientist ,4.0,unknown,9867,7,no,15.0,3.0,4.0,2.0,4.0,3.0,13.0,2,9,1985,yes,1668
74,33,No,travel_rarely,804.0,21,3,unknown,1698.0,2.0,H,79.0,4.0,1.0, laboratory technician ,2.0,unknown,13637,1,no,18.0,3.0,4.0,3.0,6.0,3.0,14.0,2,13,1990,yes,1698
75,47,No,travel_rarely,1001.0,4,3,life sciences,,3.0,M,92.0,2.0,3.0, manufacturing director ,2.0,divorced,19271,8,yes,12.0,3.0,3.0,1.0,4.0,3.0,22.0,14,10,1976,yes,7609
76,38,No,travel_rarely,1394.0,8,3,unknown,1937.0,4.0,M,58.0,2.0,2.0, research scientist ,2.0,divorced,18115,1,no,16.0,3.0,3.0,1.0,3.0,3.0,20.0,0,7,1985,no,1937
77,37,No,travel_rarely,161.0,10,3,life sciences,2017.0,3.0,M,42.0,4.0,3.0, research director ,4.0,unknown,15471,1,yes,25.0,4.0,1.0,1.0,2.0,3.0,16.0,6,8,1986,yes,2017
78,30,No,travel_rarely,288.0,2,3,unknown,117.0,3.0,H,99.0,2.0,2.0, healthcare representative ,4.0,married,15830,1,no,19.0,3.0,1.0,3.0,3.0,3.0,11.0,10,8,1993,yes,117
79,58,No,travel_rarely,682.0,18,4,unknown,131.0,4.0,H,37.0,3.0,4.0, sales executive ,3.0,single,24409,0,no,13.0,3.0,3.0,0.0,1.0,2.0,37.0,1,8,1965,yes,131
80,34,No,travel_rarely,1354.0,5,3,unknown,153.0,3.0,M,45.0,2.0,3.0, manager ,1.0,single,5615,2,no,12.0,3.0,4.0,0.0,6.0,3.0,11.0,5,8,1989,no,153
81,58,Yes,travel_rarely,147.0,23,4,medical,,4.0,M,94.0,3.0,3.0, healthcare representative ,4.0,married,3465,1,no,12.0,3.0,4.0,1.0,3.0,2.0,40.0,15,6,1965,yes,14994
82,38,No,travel_rarely,119.0,3,3,life sciences,307.0,1.0,H,76.0,3.0,3.0, sales executive ,3.0,divorced,9647,0,no,12.0,3.0,3.0,2.0,6.0,2.0,16.0,5,13,1985,yes,307
83,29,No,travel_frequently,1413.0,1,1,unknown,,2.0,M,42.0,3.0,3.0, sales executive ,4.0,married,6599,1,no,14.0,3.0,4.0,1.0,5.0,3.0,11.0,4,1,1994,yes,16475
84,55,No,travel_rarely,452.0,1,3,medical,374.0,4.0,H,81.0,3.0,5.0, manager ,1.0,single,18938,0,no,14.0,3.0,3.0,0.0,2.0,3.0,36.0,4,13,1968,yes,374
85,41,No,travel_rarely,334.0,10,4,unknown,,4.0,H,88.0,3.0,4.0, manager ,2.0,unknown,15896,1,no,19.0,3.0,2.0,0.0,2.0,3.0,22.0,0,4,1982,yes,15550
86,39,No,travel_rarely,1132.0,1,3,unknown,,3.0,H,48.0,4.0,3.0, healthcare representative ,4.0,unknown,10942,0,no,17.0,3.0,1.0,3.0,5.0,2.0,18.0,3,7,1984,no,4291
87,38,No,travel_rarely,804.0,15,2,life sciences,,3.0,H,92.0,2.0,3.0, research director ,4.0,unknown,15682,0,no,14.0,3.0,2.0,1.0,3.0,3.0,11.0,2,9,1985,yes,13196
88,43,No,travel_rarely,982.0,12,3,unknown,,1.0,H,59.0,2.0,4.0, research director ,2.0,unknown,4345,1,no,11.0,3.0,3.0,1.0,3.0,3.0,25.0,3,9,1980,yes,8309
89,31,No,travel_rarely,480.0,30,2,unknown,524.0,2.0,M,31.0,3.0,2.0, manufacturing director ,1.0,married,4156,1,no,12.0,3.0,2.0,1.0,5.0,1.0,13.0,3,12,1992,yes,524
90,50,No,travel_rarely,1099.0,27,4,life sciences,569.0,2.0,H,88.0,2.0,4.0, manager ,3.0,married,9314,0,no,15.0,3.0,2.0,1.0,2.0,3.0,27.0,15,7,1973,yes,569
91,35,No,travel_rarely,672.0,25,3,technical degree,899.0,4.0,H,78.0,2.0,3.0, manufacturing director ,2.0,married,9129,3,no,16.0,3.0,1.0,0.0,2.0,3.0,13.0,4,8,1988,no,899
92,47,No,travel_rarely,1379.0,16,4,unknown,,3.0,H,64.0,4.0,2.0, manufacturing director ,3.0,unknown,6759,1,yes,19.0,3.0,3.0,0.0,3.0,3.0,19.0,2,7,1976,yes,13643
93,35,No,travel_rarely,583.0,25,4,unknown,1014.0,3.0,M,57.0,3.0,3.0, healthcare representative ,3.0,divorced,6975,1,yes,11.0,3.0,3.0,1.0,3.0,2.0,16.0,10,1,1988,yes,1014
94,40,No,travel_rarely,1492.0,20,4,unknown,,1.0,H,61.0,3.0,3.0, healthcare representative ,4.0,married,26542,4,no,20.0,4.0,4.0,1.0,6.0,3.0,11.0,11,1,1983,yes,14819
95,45,No,travel_rarely,1050.0,9,4,life sciences,1117.0,2.0,M,65.0,2.0,2.0, sales executive ,3.0,married,17970,1,no,13.0,3.0,4.0,1.0,2.0,3.0,15.0,4,12,1978,no,1117
96,33,No,travel_rarely,117.0,9,3,medical,1238.0,1.0,H,60.0,3.0,1.0, research scientist ,4.0,married,6311,0,no,13.0,3.0,2.0,1.0,5.0,3.0,14.0,4,10,1990,no,1238
97,36,No,travel_frequently,469.0,3,3,unknown,,3.0,H,46.0,3.0,1.0, research scientist ,2.0,married,9256,1,no,12.0,3.0,3.0,0.0,2.0,2.0,11.0,0,7,1987,no,15521
98,45,Yes,travel_rarely,804.0,13,3,marketing,1277.0,1.0,M,94.0,1.0,5.0, manager ,2.0,unknown,2493,2,yes,16.0,3.0,1.0,0.0,2.0,3.0,24.0,1,11,1978,yes,1277
99,51,No,travel_frequently,237.0,27,3,unknown,,2.0,H,83.0,3.0,5.0, manager ,2.0,unknown,19196,4,yes,24.0,3.0,1.0,1.0,5.0,2.0,29.0,11,10,1972,no,19153
100,34,No,travel_rarely,1440.0,7,2,technical degree,1541.0,2.0,H,55.0,3.0,1.0, sales representative ,3.0,unknown,4944,0,yes,25.0,4.0,2.0,1.0,4.0,3.0,11.0,5,7,1989,no,1541
101,43,No,travel_rarely,1291.0,15,2,unknown,1666.0,3.0,H,65.0,2.0,4.0, research director ,3.0,unknown,3525,1,no,24.0,4.0,1.0,1.0,3.0,3.0,14.0,6,11,1980,yes,1666
102,34,No,travel_rarely,1157.0,5,2,medical,1696.0,2.0,H,57.0,2.0,2.0, laboratory technician ,4.0,unknown,11912,1,no,14.0,3.0,3.0,1.0,3.0,3.0,15.0,4,13,1989,no,1696
103,38,No,travel_rarely,1336.0,2,3,unknown,1805.0,1.0,H,100.0,3.0,1.0, human resources ,2.0,divorced,7129,5,no,13.0,3.0,4.0,3.0,3.0,3.0,11.0,3,8,1985,yes,1805
104,48,No,travel_rarely,1224.0,10,3,unknown,,4.0,H,91.0,2.0,5.0, research director ,2.0,unknown,13583,4,no,12.0,3.0,4.0,0.0,3.0,3.0,22.0,12,9,1975,no,5284
105,34,No,travel_rarely,735.0,22,4,other,1932.0,3.0,H,86.0,2.0,2.0, research scientist ,4.0,married,26496,1,yes,15.0,3.0,2.0,0.0,3.0,3.0,15.0,6,11,1989,no,1932
106,32,No,travel_rarely,804.0,31,4,unknown,2016.0,3.0,M,48.0,3.0,3.0, sales executive ,4.0,unknown,24032,1,no,19.0,3.0,3.0,2.0,3.0,3.0,14.0,5,7,1991,yes,2016
107,29,No,travel_rarely,1389.0,21,4,life sciences,20.0,2.0,M,51.0,4.0,3.0, manufacturing director ,1.0,divorced,10195,1,no,11.0,3.0,3.0,1.0,1.0,3.0,10.0,8,8,1994,no,20
108,46,No,travel_rarely,638.0,1,3,medical,,3.0,H,40.0,2.0,3.0, healthcare representative ,1.0,married,3142,2,yes,13.0,3.0,3.0,1.0,5.0,2.0,10.0,9,5,1977,no,12627
109,30,No,travel_rarely,1240.0,9,3,unknown,184.0,3.0,H,48.0,3.0,2.0, human resources ,4.0,married,13982,0,yes,19.0,3.0,4.0,0.0,2.0,1.0,11.0,4,7,1993,no,184
110,45,No,travel_rarely,194.0,9,3,life sciences,206.0,2.0,H,60.0,3.0,2.0, laboratory technician ,2.0,unknown,10901,8,no,18.0,3.0,3.0,1.0,2.0,3.0,17.0,0,15,1978,yes,206
111,30,No,travel_rarely,1339.0,5,3,unknown,228.0,2.0,M,41.0,3.0,3.0, sales executive ,4.0,unknown,8053,2,no,12.0,3.0,3.0,1.0,2.0,3.0,10.0,7,4,1993,yes,228
112,30,No,travel_rarely,111.0,9,3,unknown,239.0,3.0,H,66.0,3.0,2.0, laboratory technician ,1.0,unknown,11012,1,no,11.0,3.0,3.0,2.0,4.0,3.0,12.0,6,10,1993,yes,239
113,34,No,travel_frequently,804.0,29,1,unknown,256.0,4.0,H,45.0,2.0,2.0, manufacturing director ,3.0,married,14074,1,no,17.0,3.0,3.0,0.0,2.0,2.0,10.0,1,9,1989,no,256
114,51,No,travel_rarely,1469.0,8,4,life sciences,,2.0,H,81.0,2.0,3.0, research director ,2.0,married,15736,5,no,16.0,3.0,4.0,2.0,5.0,1.0,10.0,4,7,1972,no,19830
115,34,No,travel_rarely,470.0,39,4,life sciences,339.0,3.0,H,84.0,2.0,2.0, manufacturing director ,1.0,unknown,23687,6,no,13.0,3.0,2.0,1.0,3.0,3.0,11.0,5,9,1989,yes,339
116,35,No,travel_rarely,1232.0,16,3,unknown,406.0,3.0,H,96.0,3.0,3.0, sales executive ,2.0,married,5100,0,no,15.0,3.0,3.0,2.0,3.0,2.0,11.0,6,9,1988,yes,406
117,45,No,travel_frequently,1249.0,7,3,life sciences,,1.0,H,97.0,3.0,3.0, laboratory technician ,1.0,unknown,20308,1,no,18.0,3.0,1.0,1.0,2.0,3.0,24.0,9,11,1978,yes,12064
118,39,No,travel_rarely,117.0,10,1,unknown,429.0,3.0,H,99.0,3.0,4.0, manager ,1.0,married,5355,1,no,14.0,3.0,4.0,0.0,3.0,3.0,21.0,11,10,1984,yes,429
119,31,No,travel_rarely,798.0,7,2,unknown,,3.0,M,48.0,2.0,3.0, manufacturing director ,3.0,married,14034,1,no,24.0,4.0,1.0,1.0,2.0,3.0,10.0,8,9,1992,no,6434
120,39,No,travel_rarely,672.0,7,2,unknown,444.0,3.0,H,54.0,2.0,5.0, manager ,4.0,married,21141,1,no,15.0,3.0,1.0,1.0,2.0,3.0,21.0,13,3,1984,yes,444
121,45,No,travel_rarely,549.0,8,4,unknown,452.0,4.0,H,75.0,3.0,2.0, research scientist ,4.0,unknown,9278,9,no,14.0,3.0,1.0,2.0,3.0,3.0,10.0,9,8,1978,yes,452
122,30,No,travel_rarely,570.0,5,3,marketing,456.0,4.0,M,30.0,2.0,2.0, sales executive ,3.0,unknown,5431,1,no,13.0,3.0,3.0,3.0,2.0,3.0,10.0,1,2,1993,yes,456
123,31,No,travel_rarely,1232.0,7,4,medical,,3.0,M,39.0,3.0,3.0, manufacturing director ,4.0,unknown,25713,1,no,14.0,3.0,3.0,0.0,2.0,2.0,11.0,4,10,1992,no,17137
124,36,No,travel_rarely,541.0,3,4,medical,481.0,1.0,H,48.0,2.0,3.0, sales executive ,4.0,married,7246,4,no,11.0,3.0,1.0,1.0,2.0,3.0,13.0,1,12,1987,yes,481
125,36,No,travel_rarely,164.0,2,2,unknown,513.0,2.0,H,61.0,2.0,3.0, sales executive ,3.0,married,3809,1,no,13.0,3.0,2.0,2.0,2.0,3.0,10.0,9,0,1987,yes,513
