,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,DateBirth,RemoteWork
667,13,8,1973,no
668,1,3,1964,no
669,11,11,1983,no
670,0,3,1969,no
671,0,7,1973,yes
672,4,4,1969,yes
673,1,2,1999,yes
674,1,3,1986,yes
675,1,2,1993,yes
676,1,2,1989,no
677,1,4,1966,yes
678,0,7,1985,no
679,0,2,1982,yes
680,0,2,1981,no
681,2,0,1989,yes
682,0,1,1993,yes
683,0,1,1994,yes
684,1,2,1991,no
685,1,5,1998,yes
686,1,3,1970,yes
687,3,3,1997,yes
688,0,2,1995,yes
689,0,7,1995,yes
690,1,2,1965,yes
691,1,2,1996,yes
692,0,3,1969,no
693,0,2,1983,yes
694,0,2,1994,yes
695,1,3,1973,no
696,1,4,1999,yes
697,1,4,1993,no
698,5,7,1989,yes
699,1,3,1990,no
700,9,7,1987,yes
701,1,10,1982,yes
702,0,7,1984,yes
703,1,4,1997,yes
704,1,2,1999,yes
705,0,3,1996,yes
706,0,2,1996,yes
707,1,3,1973,no
708,0,2,2000,yes
709,3,6,1984,no
710,1,2,1971,yes
711,1,2,1997,yes
712,1,4,1969,yes
713,4,3,1986,no
714,0,3,1973,no
715,0,2,1981,no
716,1,2,1985,no
717,0,1,1998,no
718,1,3,1991,yes
719,0,3,1998,yes
720,1,3,1981,yes
721,0,3,1990,no
722,0,3,1994,no
723,1,3,1985,yes
724,0,2,1978,no
725,0,3,1992,no
726,1,1,2001,yes
727,4,3,1964,no
728,1,1,1978,no
729,0,4,1978,yes
730,0,1,1986,yes
731,1,3,1997,no
732,1,3,1997,yes
733,0,4,1995,yes
734,1,2,1999,no
735,1,4,1993,no
736,1,3,1980,yes
737,0,3,1993,no
738,1,4,1977,yes
739,0,3,1981,yes
740,1,1,1998,no
741,0,3,1996,yes
742,7,7,1967,no
743,1,7,1982,yes
744,0,4,1995,yes
745,0,2,1971,yes
746,1,1,1997,yes
747,1,3,1974,yes
748,1,3,1989,yes
749,0,3,1991,yes
750,0,3,1990,no
751,0,0,1994,no
752,1,3,1993,no
753,1,2,2000,no
754,0,2,1990,yes
755,4,2,1988,yes
756,1,2,1985,yes
757,0,0,1995,yes
758,0,2,1986,no
759,1,3,1999,no
760,1,3,1987,yes
761,3,3,1985,no
762,1,2,1970,no
763,1,3,1986,yes
764,0,4,1999,yes
765,1,2,1994,no
766,0,2,1991,no
767,0,4,1981,yes
768,0,4,1982,yes
769,2,3,1979,yes
770,0,3,1995,yes
771,2,2,1984,yes
772,0,2,1983,yes
773,0,8,1986,yes
774,0,3,1983,yes
775,1,2,1997,no
776,3,3,1981,no
777,1,0,1989,yes
778,0,4,1986,yes
779,1,2,1996,no
780,0,4,1988,yes
781,1,4,1995,yes
782,0,2,1994,no
783,2,3,1969,no
784,1,2,1999,yes
785,7,7,1985,no
786,1,2,1981,yes
787,1,0,1982,yes
788,0,4,1998,yes
789,1,2,1979,yes
790,0,1,1973,yes
791,0,0,1987,no
792,0,1,1978,yes
793,0,2,1983,yes
794,1,1,1988,yes
795,0,3,1994,no
796,1,2,1989,yes
797,2,2,1996,no
798,4,3,1992,yes
799,1,2,1989,yes
800,0,3,1995,yes
801,0,5,1991,yes
802,1,2,1985,yes
803,1,3,1999,yes
804,1,3,1989,yes
805,6,7,1991,no
806,2,1,1977,no
807,1,3,1979,no
808,0,2,1973,yes
809,2,2,1988,yes
810,2,2,1995,yes
811,0,0,1997,no
812,2,2,1988,no
813,1,2,1988,yes
814,0,2,1986,yes
815,0,2,1977,yes
816,1,3,1989,yes
817,0,3,1972,yes
818,0,2,1999,yes
819,1,2,1979,yes
820,0,2,1986,yes
821,2,2,1964,no
822,2,1,1998,yes
823,1,2,1980,yes
824,2,1,1973,no
825,2,2,1992,yes
826,0,1,1987,no
827,0,3,1972,no
828,2,2,1998,no
829,2,2,1985,no
830,2,2,1993,yes
831,2,2,2001,yes
832,2,2,1996,yes
833,0,2,1995,yes
834,1,1,1996,yes
835,2,2,1967,yes
836,2,1,1985,yes
837,0,2,1992,yes
838,1,2,1989,yes
839,0,2,1973,no
840,1,3,1970,no
841,1,2,1988,yes
842,2,0,1996,no
843,3,7,1983,yes
844,2,2,2001,no
845,0,2,1983,yes
846,0,3,1977,yes
847,0,4,1993,yes
848,1,5,1994,no
849,0,5,1969,no
850,1,1,1990,yes
851,2,2,1971,yes
852,2,2,1964,no
853,1,2,1991,yes
854,1,2,1984,no
855,2,2,1991,yes
856,2,2,1992,yes
857,0,2,1990,yes
858,0,2,1978,yes
859,0,2,1981,yes
860,0,2,1994,no
861,1,2,1998,no
862,0,4,1991,no
863,0,4,1995,yes
864,1,0,2002,no
865,0,2,1986,no
866,1,2,1985,no
867,0,2,1997,no
868,1,2,1974,yes
869,2,2,1992,yes
870,1,2,1986,no
871,0,3,1992,yes
872,1,0,1992,no
873,2,2,1992,yes
874,7,7,1971,no
875,2,2,1995,yes
876,1,1,1976,no
877,2,2,1994,yes
878,0,4,1986,yes
879,0,2,2000,no
880,1,0,1981,no
881,2,2,1993,no
882,1,2,2002,yes
883,1,2,1966,yes
884,2,2,2002,yes
885,2,2,1992,yes
886,1,2,1994,no
887,0,4,1996,yes
888,0,0,1974,yes
889,2,2,1987,yes
890,0,4,1989,yes
891,0,3,1999,yes
892,1,2,1981,yes
893,1,2,1969,no
894,1,2,1989,yes
895,1,2,1980,yes
896,0,2,1980,yes
897,3,2,1992,no
898,0,2,1998,yes
899,0,2,1978,yes
900,1,4,1971,no
901,1,0,1989,yes
902,0,2,1997,yes
903,0,7,1994,yes
904,1,1,1994,no
905,0,1,1977,no
906,1,2,1977,no
907,1,2,1993,yes
908,0,2,1989,no
909,2,0,1981,yes
910,1,2,2001,yes
911,1,2,1994,yes
912,1,2,1977,yes
913,1,2,1991,yes
914,2,1,1999,no
915,0,2,1988,no
916,2,2,1981,yes
917,0,2,1975,yes
918,0,2,1979,yes
919,0,6,1989,yes
920,1,2,2002,yes
921,0,1,1979,yes
922,2,2,2001,yes
923,0,2,1997,no
924,0,2,1987,yes
925,1,1,1996,yes
926,0,2,2000,no
927,1,2,1998,no
928,2,2,1975,yes
929,2,0,1999,yes
930,2,2,1963,no
931,2,2,1973,yes
932,1,4,1979,no
933,11,13,1976,yes
934,2,2,1981,yes
935,2,2,1980,yes
936,2,3,1983,no
937,2,2,1994,no
938,2,2,1970,no
939,0,2,2000,no
940,1,4,1968,no
941,2,0,1997,yes
942,1,3,1989,no
943,1,1,1996,yes
944,0,2,1988,yes
945,0,2,1993,yes
946,1,2,1989,yes
947,1,4,1971,yes
948,0,2,1990,no
949,2,2,1988,no
950,2,1,1995,yes
951,0,4,1987,yes
952,1,3,1989,yes
953,0,2,1989,no
954,2,3,1979,yes
955,0,3,1991,yes
956,0,4,1970,no
957,2,2,2001,no
958,0,2,1979,no
959,7,8,1988,yes
960,0,3,1998,no
961,0,2,1974,no
962,3,4,1999,no
963,1,2,1985,yes
964,0,2,1994,no
965,2,2,1980,yes
966,0,2,1995,no
967,0,2,2003,yes
968,1,2,1976,yes
969,0,2,2001,yes
970,2,2,1995,yes
971,2,2,1984,yes
972,0,2,1990,no
973,0,1,1987,yes
974,1,0,1988,yes
975,1,2,1992,no
976,0,2,1990,no
977,2,2,1996,no
978,0,1,1993,yes
979,3,2,1999,no
980,0,2,1988,no
981,1,2,1993,yes
982,2,2,1975,yes
983,2,1,1982,no
984,2,2,1996,yes
985,1,2,1988,no
986,2,2,1997,yes
987,2,2,1990,no
988,1,2,1997,yes
989,2,2,1985,no
990,2,2,1977,yes
991,0,2,2003,yes
992,0,2,1993,no
993,1,2,1996,no
994,1,2,1968,yes
995,1,2,1990,yes
996,2,2,1995,yes
997,0,4,1989,yes
998,2,2,1990,no
999,0,2,1990,no
1000,2,2,2002,yes
1001,2,2,1992,yes
1002,0,2,1988,yes
1003,0,2,1989,yes
1004,0,3,1990,no
1005,2,2,1992,yes
1006,1,3,1986,yes
1007,2,2,1996,yes
1008,2,2,1988,yes
1009,4,2,1967,yes
1010,0,2,1978,yes
1011,1,2,2003,yes
1012,2,2,1973,yes
1013,0,3,1977,yes
1014,2,2,1991,yes
1015,4,12,1988,no
1016,1,2,1994,yes
1017,2,2,2002,yes
1018,0,2,1989,yes
1019,0,2,1995,no
1020,2,2,1988,no
1021,2,2,1995,no
1022,1,2,1995,no
1023,2,1,1998,no
1024,2,2,1965,yes
1025,0,3,1984,no
1026,6,7,1993,yes
1027,1,2,1973,yes
1028,11,9,1982,yes
1029,2,2,1992,no
1030,1,2,1979,yes
1031,0,0,1983,yes
1032,1,2,1998,no
1033,0,3,1983,yes
1034,0,3,1972,yes
1035,0,0,1996,no
1036,3,2,1988,yes
1037,0,3,1985,yes
1038,6,7,1992,yes
1039,3,2,1972,yes
1040,3,3,1982,no
1041,1,2,1991,yes
1042,1,2,1998,no
1043,4,4,1996,yes
1044,7,7,1996,yes
1045,0,2,1986,yes
1046,2,2,1988,yes
1047,0,2,1998,yes
1048,0,2,1993,yes
1049,1,0,1992,yes
1050,0,2,1987,no
1051,2,2,1998,yes
1052,1,0,1967,yes
1053,0,3,1982,yes
1054,0,2,1992,yes
1055,2,2,1992,yes
1056,2,2,1975,no
1057,2,2,1989,no
1058,0,3,1979,no
1059,1,2,1974,yes
1060,1,3,1979,no
1061,1,2,1995,no
1062,2,2,1979,yes
1063,1,2,1968,yes
1064,1,3,1995,yes
1065,1,2,1974,yes
1066,0,2,1994,no
1067,0,0,1991,yes
1068,7,7,1992,yes
1069,2,2,1983,no
1070,1,2,1987,no
1071,2,2,1990,no
1072,1,3,1993,yes
1073,1,4,1985,no
1074,7,6,1975,yes
1075,2,1,1989,yes
1076,1,2,1985,no
1077,0,4,1988,yes
1078,2,2,2000,yes
1079,0,2,1987,no
1080,7,7,1989,no
1081,1,3,2001,yes
1082,0,2,1991,yes
1083,0,3,1992,no
1084,1,1,1987,yes
1085,2,2,2002,no
1086,1,0,1976,no
1087,3,8,1984,yes
1088,3,3,1983,yes
1089,2,2,1975,yes
1090,2,2,1988,no
1091,0,2,1996,no
1092,1,2,1996,yes
1093,0,3,1983,yes
1094,1,4,1994,yes
1095,0,2,1987,yes
1096,1,2,1974,yes
1097,2,2,2003,yes
1098,1,2,1987,yes
1099,0,4,1990,yes
1100,2,2,1974,yes
1101,1,2,1976,yes
1102,0,2,2003,yes
1103,0,2,1987,no
1104,2,2,1979,no
1105,1,2,1968,yes
1106,0,2,2000,no
1107,0,2,1997,yes
1108,1,3,1991,yes
1109,0,3,1992,no
1110,1,2,1982,no
1111,1,2,1999,yes
1112,2,2,1987,yes
1113,1,2,2000,no
1114,2,1,1999,no
1115,1,2,1993,no
1116,0,2,1992,yes
1117,1,4,1996,no
1118,2,2,1994,yes
1119,0,2,1994,no
1120,0,2,1970,yes
1121,2,2,1989,yes
1122,2,2,1972,yes
1123,0,3,1986,no
1124,2,2,1977,no
1125,1,2,1980,yes
1126,1,2,1982,no
1127,2,2,1992,no
1128,1,2,1995,no
1129,0,3,1985,yes
1130,2,2,1965,yes
1131,2,0,1994,no
1132,2,0,1976,no
1133,2,2,1995,yes
1134,2,2,1991,yes
1135,2,2,1984,yes
1136,0,4,1968,no
1137,1,2,1994,yes
1138,0,2,1988,no
1139,3,0,1989,yes
1140,1,0,1967,yes
1141,1,3,1987,yes
1142,1,4,1992,no
1143,0,1,1989,yes
1144,2,2,1992,no
1145,0,3,1978,yes
1146,1,2,1984,no
1147,0,3,1985,no
1148,2,3,1992,yes
1149,2,2,1970,yes
1150,1,2,1985,no
1151,1,4,1969,no
1152,1,4,2000,yes
1153,0,2,1998,yes
1154,1,2,1992,yes
1155,2,2,1988,yes
1156,1,2,2001,yes
1157,4,1,1991,no
1158,2,2,1991,yes
1159,1,2,2002,yes
1160,0,2,1987,yes
1161,2,2,1994,yes
1162,1,2,1991,yes
1163,2,2,1983,yes
1164,0,2,1988,no
1165,2,0,1973,yes
1166,0,0,1997,yes
1167,0,3,1987,no
1168,0,3,1996,no
1169,0,0,1990,no
1170,0,0,1987,yes
1171,1,0,1992,yes
1172,2,1,2001,yes
1173,0,1,1996,yes
1174,0,2,1990,yes
1175,1,7,1987,yes
1176,0,2,1986,yes
1177,0,3,1991,yes
1178,1,2,1972,yes
1179,0,7,1974,yes
1180,0,0,1988,yes
